rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,numSeats,numCands
21,21,8,21,21,5,1,21,21,21,21,21,3,1,7,21,21,21,4,6,21,1.0,21.0
21,21,21,3,21,1,5,21,8,21,21,21,2,7,6,21,21,21,9,4,21,,
1,8,11,21,7,6,5,21,3,15,14,13,10,4,2,18,17,19,9,12,16,,
10,21,7,21,21,9,2,21,8,21,21,21,6,1,3,21,21,21,5,4,21,,
21,21,21,21,21,4,21,21,21,21,21,21,2,1,3,21,21,21,21,21,21,,
3,20,9,15,9,12,1,21,14,11,13,12,20,2,5,4,17,18,10,6,17,,
3,14,21,10,11,9,2,21,6,21,21,15,12,1,4,21,8,7,5,13,16,,
1,13,12,21,11,9,8,21,7,21,2,21,5,4,3,21,21,21,6,9,21,,
21,21,21,21,3,21,21,21,21,21,21,21,21,21,2,21,21,21,1,21,21,,
5,21,11,9,21,4,2,21,3,21,13,13,10,1,6,8,21,14,7,12,21,,
21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,,
11,14,12,9,15,7,3,21,6,16,17,20,5,1,4,19,13,10,2,8,18,,
8,14,19,18,15,6,12,21,4,16,5,1,9,13,2,7,10,20,3,11,17,,
4,11,19,1,18,7,3,21,10,15,13,20,14,12,2,17,5,6,9,8,16,,
6,3,12,16,19,2,7,21,15,10,11,19,19,5,9,11,13,14,8,4,1,,
5,15,19,20,14,6,9,21,11,14,1,4,2,8,3,12,18,16,10,8,17,,
21,21,21,21,21,21,21,21,21,21,21,21,2,21,21,21,21,21,21,1,21,,
1,5,21,21,21,21,4,21,21,8,7,21,21,21,2,21,6,9,3,21,21,,
3,1,20,4,15,16,8,9,14,19,13,17,10,7,11,6,2,12,18,21,5,,
21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,,
1,21,21,21,21,6,21,21,2,21,21,21,5,21,4,21,21,21,21,3,21,,
1,21,5,21,21,3,6,21,4,21,21,21,21,4,2,21,21,21,3,21,21,,
4,3,21,21,21,21,21,21,2,21,21,5,21,1,21,21,21,20,21,6,21,,
