"rank1","rank2","rank3","rank4","rank5","Num Cands","Num Seats"
"4","1","5","2","skipped","5.0","Unknown"
"1","5","3","4","2","nan","Unknown"
"5","skipped","skipped","skipped","skipped","nan","Unknown"
"1","3","2","4","5","nan","Unknown"
"1","3","skipped","skipped","skipped","nan","Unknown"
"1","4","3","2","skipped","nan","Unknown"
"2","4","5","1","3","nan","Unknown"
"5","2","3","1","4","nan","Unknown"
"3","2","1","skipped","skipped","nan","Unknown"
"5","1","4","2","skipped","nan","Unknown"
"1","2","3","5","4","nan","Unknown"
"5","1","2","3","skipped","nan","Unknown"
"5","1","3","skipped","skipped","nan","Unknown"
"2","5","1","4","3","nan","Unknown"
"2","4","5","3","1","nan","Unknown"
"5","1","4","2","skipped","nan","Unknown"
"1","5","2","3","4","nan","Unknown"
"1","2","4","3","5","nan","Unknown"
"1","2","4","5","3","nan","Unknown"
"1","5","skipped","skipped","skipped","nan","Unknown"
"2","5","4","1","3","nan","Unknown"
"3","2","5","1","4","nan","Unknown"
"4","2","3","5","1","nan","Unknown"
"1","2","3","skipped","skipped","nan","Unknown"
"2","3","5","1","4","nan","Unknown"
"4","5","2","3","1","nan","Unknown"
"3","2","4","1","5","nan","Unknown"
"5","1","2","3","skipped","nan","Unknown"
"3","1","2","5","4","nan","Unknown"
"3","4","5","skipped","skipped","nan","Unknown"
"1","5","3","2","4","nan","Unknown"
"3","1","4","5","2","nan","Unknown"
"1","5","2","skipped","skipped","nan","Unknown"
"1","5","3","2","4","nan","Unknown"
"2","1","3","5","4","nan","Unknown"
"1","3","5","2","skipped","nan","Unknown"
