"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"10","13","3","4","7","2","5","6","12","11","1","8","9","13.0","1.0"
"12","10","11","4","3","1","2","8","5","13","6","7","9","nan","nan"
"1","12","9","10","3","6","4","7","8","5","2","13","11","nan","nan"
"11","13","1","10","12","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","13","4","2","6","10","7","5","3","9","skipped","skipped","skipped","nan","nan"
"13","4","10","2","1","6","3","11","9","12","7","5","8","nan","nan"
"4","12","8","13","2","3","1","6","7","5","9","11","10","nan","nan"
"10","3","1","2","4","5","7","6","13","11","skipped","skipped","skipped","nan","nan"
"12","4","2","3","6","13","1","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","3","12","11","10","2","4","1","13","skipped","skipped","skipped","nan","nan"
"8","10","11","13","5","1","6","7","4","2","3","12","9","nan","nan"
"4","11","2","10","3","1","9","7","5","6","13","12","skipped","nan","nan"
"13","12","10","1","3","9","4","6","7","11","2","5","8","nan","nan"
"7","9","10","2","3","4","1","8","5","6","11","13","12","nan","nan"
"8","13","1","2","4","5","10","7","9","12","3","6","11","nan","nan"
"4","13","3","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","9","5","1","10","12","6","3","8","11","2","4","7","nan","nan"
"5","11","10","7","3","1","6","4","9","2","8","13","12","nan","nan"
"10","13","1","2","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","12","6","10","3","4","9","11","5","13","1","7","8","nan","nan"
"13","5","7","3","4","2","6","1","8","skipped","skipped","skipped","skipped","nan","nan"
"7","13","9","12","2","1","4","5","6","8","3","10","11","nan","nan"
"4","11","9","10","5","1","7","8","2","3","6","12","13","nan","nan"
"6","11","3","2","10","7","1","5","9","8","4","12","13","nan","nan"
"12","13","11","9","3","2","5","7","6","4","1","10","skipped","nan","nan"
"7","10","5","3","1","4","9","8","6","2","11","13","12","nan","nan"
"5","13","2","12","1","3","6","7","9","4","8","10","11","nan","nan"
"13","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","6","8","7","11","9","10","4","13","5","2","3","nan","nan"
"10","13","11","12","1","3","7","2","8","9","6","4","5","nan","nan"
"13","5","1","4","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","13","10","5","8","1","4","3","6","2","9","12","11","nan","nan"
"9","12","1","6","2","7","5","10","13","8","4","3","11","nan","nan"
"4","13","2","9","7","1","8","10","5","3","6","11","12","nan","nan"
"3","11","13","12","5","7","8","6","9","2","10","1","4","nan","nan"
"8","11","1","5","6","4","7","9","3","10","2","13","12","nan","nan"
"8","13","4","2","6","1","7","5","9","10","3","skipped","skipped","nan","nan"
"9","8","11","6","2","3","1","4","7","10","5","12","13","nan","nan"
"6","12","8","1","4","3","7","10","2","5","9","13","11","nan","nan"
"8","11","12","3","7","4","6","2","1","5","9","10","skipped","nan","nan"
