rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
20,20,5,20,20,20,20,20,20,20,3,2,20,1,20,4,20,20,20,20,1.0,20.0
20,20,5,3,20,20,20,20,20,20,20,1,20,20,2,4,20,20,20,20,,
20,1,2,20,5,4,20,20,20,20,20,20,20,20,20,20,20,20,3,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,1,2,16,7,3,11,10,12,6,14,5,8,17,18,19,13,15,4,9,,
11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,
19,20,12,8,11,3,16,13,17,18,4,2,6,1,15,5,10,7,9,14,,
18,20,13,2,3,4,9,5,19,12,10,1,17,11,15,14,8,7,16,6,,
1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
19,20,3,19,19,4,19,19,19,19,19,19,19,19,2,1,19,19,19,19,,
20,1,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
19,1,12,8,3,11,8,9,18,8,16,8,10,17,14,13,20,15,2,8,,
20,11,10,2,3,1,20,20,5,6,20,20,8,20,20,9,20,7,4,20,,
17,20,19,16,6,5,14,10,2,3,8,12,4,1,13,11,7,18,15,9,,
20,1,3,18,2,18,18,18,18,5,18,18,18,18,4,18,18,18,18,18,,
20,1,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,4,1,2,20,20,20,3,20,20,20,20,20,20,20,20,20,20,,
7,20,11,4,12,16,14,19,6,17,18,9,8,1,3,2,5,13,10,15,,
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,,
20,1,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,1,2,20,20,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
1,20,20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,,
20,1,19,2,6,3,10,12,20,7,20,4,8,20,20,20,20,9,5,20,,
20,19,2,19,19,3,19,19,19,19,19,1,19,4,19,19,19,19,19,19,,
15,20,12,16,9,6,5,7,19,4,10,11,8,19,3,14,13,2,17,2,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,4,20,20,20,20,20,20,20,20,20,20,1,2,3,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
4,20,9,7,19,15,13,14,19,11,19,8,5,1,2,3,6,12,19,10,,
19,20,16,6,8,7,11,10,13,17,1,4,9,3,15,5,14,2,12,18,,
1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
6,9,16,19,18,2,11,12,7,13,15,17,5,20,3,14,4,10,8,1,,
20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
1,3,4,8,20,20,9,20,20,20,6,20,20,2,20,9,9,5,7,20,,
20,20,3,20,1,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,,
20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,4,20,2,1,20,20,20,20,20,20,20,20,20,20,20,20,3,20,,
20,1,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
18,20,2,9,1,3,9,9,15,4,9,16,9,16,14,9,16,9,9,9,,
1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
18,20,1,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,,
20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,5,20,20,20,20,20,20,20,20,1,4,20,2,20,20,3,20,20,,
20,1,12,11,9,9,11,11,19,9,17,9,9,16,13,14,18,9,15,10,,
20,1,7,8,6,2,17,12,14,15,13,3,5,11,18,9,16,10,4,19,,
19,20,7,6,17,8,9,10,14,17,15,1,11,2,5,3,12,18,4,13,,
1,20,4,7,19,5,19,19,19,19,19,3,19,19,2,19,19,19,8,6,,
1,20,20,20,20,20,20,20,2,20,20,20,20,1,4,4,20,3,20,20,,
20,20,5,1,3,20,20,20,20,20,20,4,20,20,20,3,20,20,20,20,,
20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
2,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
11,20,12,20,20,9,9,9,20,20,9,9,9,20,1,10,20,20,9,9,,
20,20,1,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
17,1,2,6,10,8,9,19,18,7,11,15,5,3,13,20,4,14,16,12,,
16,20,20,14,19,15,15,15,17,20,20,1,15,14,15,15,20,15,20,15,,
20,20,5,20,20,2,20,20,20,20,20,1,20,20,20,20,20,3,4,20,,
20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
6,1,3,15,4,2,17,12,7,14,11,19,9,20,13,8,16,18,5,10,,
20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,,
20,11,6,20,9,3,20,20,10,20,20,1,20,20,20,2,20,20,3,20,,
20,20,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,
2,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,,
20,20,6,4,3,1,20,20,20,20,20,20,20,2,5,20,20,20,20,20,,
20,2,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
2,20,6,3,20,20,20,20,20,20,20,20,20,1,5,4,20,20,20,20,,
20,1,6,3,5,2,20,4,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
8,20,6,5,9,11,10,10,10,12,10,1,10,4,2,3,10,10,7,10,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,4,20,3,1,20,20,20,20,20,20,20,20,20,2,20,20,20,20,,
1,4,3,12,2,7,17,14,19,13,6,9,16,15,8,20,18,5,11,10,,
20,1,2,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,,
3,20,20,9,6,2,20,17,4,14,15,1,10,8,5,16,11,12,13,7,,
20,20,7,6,5,20,20,20,20,20,20,1,2,5,20,20,20,3,20,20,,
17,20,14,6,7,13,15,11,18,16,12,1,10,2,4,3,19,5,8,9,,
20,1,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,1,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
17,20,18,15,2,15,10,15,10,11,15,1,5,19,10,2,16,10,4,10,,
20,1,3,20,20,20,20,20,3,20,20,2,20,20,20,20,20,20,2,20,,
20,1,2,3,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
1,6,4,20,20,20,20,20,6,20,20,2,20,7,3,20,5,20,20,20,,
14,20,12,12,4,3,6,2,5,17,8,1,13,16,15,10,9,18,7,11,,
18,15,15,12,14,11,20,20,20,20,20,13,20,17,19,16,20,20,17,20,,
15,20,17,13,16,13,13,13,19,18,13,13,13,13,13,13,13,13,14,13,,
20,1,4,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
19,20,17,1,11,13,14,11,9,15,12,18,5,4,7,6,3,2,8,16,,
17,20,10,2,8,1,11,5,16,9,12,4,20,18,15,7,19,6,3,13,,
20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
2,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
