"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"12","7","5","2","3","8","11","9","4","10","6","1","12.0","1.0"
"9","10","6","2","1","5","12","4","7","11","8","3","nan","nan"
"11","12","7","2","1","8","9","6","4","3","10","5","nan","nan"
"11","12","7","2","1","3","10","5","skipped","skipped","skipped","skipped","nan","nan"
"12","6","7","2","1","3","10","4","11","8","9","5","nan","nan"
"12","10","5","2","1","6","8","3","9","11","7","4","nan","nan"
"11","10","1","7","2","9","5","6","8","12","4","3","nan","nan"
"10","12","8","1","4","2","11","3","9","6","7","5","nan","nan"
"10","12","6","2","1","4","9","5","7","11","8","3","nan","nan"
"12","11","1","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","5","2","1","4","9","3","11","12","7","6","nan","nan"
"11","12","2","1","4","3","5","9","skipped","skipped","skipped","skipped","nan","nan"
"9","10","8","1","2","5","11","6","12","3","7","4","nan","nan"
"12","3","4","5","6","1","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","10","2","1","5","6","8","7","9","12","4","3","nan","nan"
"12","6","3","1","4","5","7","2","skipped","skipped","skipped","skipped","nan","nan"
"12","8","4","3","1","5","9","6","11","10","7","2","nan","nan"
"11","12","6","2","1","8","5","7","3","10","4","skipped","nan","nan"
"12","6","2","1","3","4","11","5","skipped","skipped","skipped","skipped","nan","nan"
"10","9","3","2","1","4","12","6","7","11","8","5","nan","nan"
"12","10","6","4","3","5","9","1","11","7","8","2","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","6","1","4","3","11","2","8","9","7","5","nan","nan"
"12","5","2","4","3","7","9","6","8","10","11","skipped","nan","nan"
"6","2","1","4","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","2","11","12","10","3","9","6","7","1","8","nan","nan"
"12","10","3","2","1","4","5","11","6","skipped","skipped","skipped","nan","nan"
"2","11","7","9","8","1","5","6","3","10","12","4","nan","nan"
"10","8","4","2","5","11","3","12","9","1","skipped","skipped","nan","nan"
"2","12","6","3","4","7","11","8","1","9","10","5","nan","nan"
"11","12","6","2","1","3","10","4","8","7","9","5","nan","nan"
"1","5","12","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","11","5","1","3","6","10","4","9","7","8","2","nan","nan"
"10","12","1","2","3","6","9","4","8","7","11","5","nan","nan"
"10","12","6","4","1","3","8","5","7","11","9","2","nan","nan"
"7","3","4","2","5","10","11","8","9","12","1","6","nan","nan"
"6","7","12","2","1","4","3","5","skipped","skipped","skipped","skipped","nan","nan"
"12","11","4","1","3","6","10","5","8","9","7","2","nan","nan"
"12","9","4","2","7","1","11","3","6","8","10","5","nan","nan"
"12","9","7","4","5","2","10","3","11","6","8","1","nan","nan"
"2","12","6","4","7","9","5","8","10","11","3","1","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","4","3","6","7","8","5","11","12","10","2","nan","nan"
"12","9","5","2","1","3","11","4","7","10","8","6","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","4","2","3","1","11","6","9","7","12","5","nan","nan"
"7","5","3","12","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","12","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","7","9","6","2","3","10","8","1","5","11","4","nan","nan"
"11","12","3","1","4","6","10","7","8","9","2","5","nan","nan"
"11","12","6","2","1","4","9","5","10","8","7","3","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","4","2","8","1","11","5","10","6","7","3","nan","nan"
"9","11","12","3","1","7","8","4","6","10","2","5","nan","nan"
"9","1","2","8","6","4","12","10","3","5","11","7","nan","nan"
"8","12","2","9","7","11","4","3","10","5","1","6","nan","nan"
"9","6","4","5","7","3","11","2","8","10","12","1","nan","nan"
"10","8","4","2","1","3","12","6","9","7","11","5","nan","nan"
"11","12","6","2","1","3","10","4","7","8","9","5","nan","nan"
"11","12","6","5","4","3","10","2","8","1","9","7","nan","nan"
"9","12","3","5","4","6","8","1","7","11","10","2","nan","nan"
"11","12","6","1","2","3","9","4","10","8","7","5","nan","nan"
"12","11","2","4","8","3","10","5","9","7","1","6","nan","nan"
"11","10","4","1","2","5","12","6","8","9","7","3","nan","nan"
"12","11","5","1","2","3","10","6","8","9","7","4","nan","nan"
"11","12","6","2","3","1","8","5","7","10","9","4","nan","nan"
"12","7","6","3","5","8","10","9","4","11","1","2","nan","nan"
"9","12","6","2","1","5","10","4","7","11","8","3","nan","nan"
"11","12","6","4","3","2","8","1","7","10","9","5","nan","nan"
"12","11","1","3","2","5","10","6","9","7","8","4","nan","nan"
"10","1","3","7","5","6","11","4","12","8","9","2","nan","nan"
"12","10","4","2","6","1","7","5","11","9","8","3","nan","nan"
"10","8","7","1","4","6","9","3","11","12","5","2","nan","nan"
"8","9","7","2","1","3","11","4","6","10","12","5","nan","nan"
"4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","9","1","2","3","8","6","4","11","7","5","nan","nan"
"12","2","3","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","8","1","2","5","7","3","11","10","6","4","nan","nan"
"7","12","11","10","8","1","6","3","9","5","skipped","skipped","nan","nan"
"12","4","1","9","3","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","6","2","1","9","7","4","10","8","5","3","nan","nan"
"12","7","4","5","3","2","9","6","8","11","10","1","nan","nan"
"12","6","1","2","5","3","8","9","7","4","skipped","skipped","nan","nan"
