"rank1","rank2","rank3","rank4","rank5","rank6","rank7","Num Cands","Num Seats"
"6","7","3","4","5","1","2","7.0","1.0"
"5","2","4","1","3","7","skipped","nan","nan"
"5","2","4","3","6","1","7","nan","nan"
"4","7","2","5","3","6","1","nan","nan"
"6","5","2","4","7","1","3","nan","nan"
"5","1","4","3","6","7","2","nan","nan"
"6","7","1","5","3","4","2","nan","nan"
"2","3","4","1","7","6","5","nan","nan"
"5","6","4","3","7","2","1","nan","nan"
"6","1","4","2","7","5","3","nan","nan"
"5","6","4","1","7","2","3","nan","nan"
"5","6","7","4","2","1","3","nan","nan"
"3","2","5","6","1","7","skipped","nan","nan"
"2","1","5","3","7","6","4","nan","nan"
"4","6","5","2","7","1","3","nan","nan"
"7","4","1","6","3","5","2","nan","nan"
"5","6","1","4","7","2","3","nan","nan"
"6","5","2","1","7","3","4","nan","nan"
"7","5","3","4","1","2","skipped","nan","nan"
"6","7","1","4","3","2","5","nan","nan"
"6","7","4","3","5","2","1","nan","nan"
"3","2","4","5","7","6","1","nan","nan"
"5","7","4","2","6","1","3","nan","nan"
"4","5","2","6","7","3","1","nan","nan"
"6","7","4","1","5","2","3","nan","nan"
"1","4","7","2","6","5","3","nan","nan"
"5","7","1","2","3","skipped","skipped","nan","nan"
"6","7","4","1","2","5","3","nan","nan"
"1","3","4","7","5","skipped","skipped","nan","nan"
"5","6","4","3","7","1","2","nan","nan"
"5","3","7","2","4","6","1","nan","nan"
"2","4","5","7","3","6","1","nan","nan"
"6","7","4","3","5","1","2","nan","nan"
"1","2","4","7","3","6","5","nan","nan"
"6","7","4","5","3","2","1","nan","nan"
"7","5","6","2","4","1","3","nan","nan"
