rank1,rank2,rank3,rank4,rank5,numSeats,numCands
4,Skipped,1,3,2,1.0,5.0
1,5,3,2,4,,
1,5,2,3,4,,
3,5,2,1,4,,
3,Skipped,2,4,1,,
5,Skipped,2,1,4,,
3,Skipped,1,4,2,,
1,Skipped,3,2,4,,
3,Skipped,1,5,2,,
3,5,2,4,1,,
1,Skipped,2,Skipped,Skipped,,
2,Skipped,3,4,1,,
1,Skipped,3,2,4,,
2,Skipped,3,5,1,,
2,Skipped,1,4,3,,
4,Skipped,1,3,2,,
1,5,2,4,3,,
1,4,2,5,3,,
5,5,2,5,1,,
3,Skipped,1,4,2,,
4,5,3,1,2,,
1,Skipped,3,4,2,,
5,4,3,1,3,,
5,4,1,3,2,,
2,Skipped,4,1,3,,
1,5,3,2,4,,
1,Skipped,4,4,1,,
3,Skipped,1,4,2,,
2,5,2,4,3,,
2,5,1,3,4,,
2,?,4,5,1,,
