"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"3","2","1","5","7","6","4","8","8.0","1.0"
"4","5","1","3","8","2","7","6","nan","nan"
"5","1","3","4","7","2","8","6","nan","nan"
"5","4","8","2","7","1","6","3","nan","nan"
"8","7","4","5","2","6","1","3","nan","nan"
"2","5","7","3","6","4","8","1","nan","nan"
"2","5","6","1","8","4","7","3","nan","nan"
"1","3","5","7","6","2","8","4","nan","nan"
"3","2","8","1","6","5","7","4","nan","nan"
"6","3","7","1","5","2","8","4","nan","nan"
"6","5","3","4","7","2","8","1","nan","nan"
"1","3","6","4","8","2","5","7","nan","nan"
"7","4","1","6","3","5","8","2","nan","nan"
"5","4","1","2","8","3","7","skipped","nan","nan"
"4","6","2","1","5","3","8","7","nan","nan"
"4","5","6","2","8","1","7","3","nan","nan"
"3","4","6","5","7","2","8","1","nan","nan"
"6","2","8","5","1","4","7","3","nan","nan"
"1","8","3","7","6","2","4","5","nan","nan"
"4","2","5","6","8","3","7","1","nan","nan"
"2","1","4","8","5","3","skipped","skipped","nan","nan"
"4","1","3","2","7","6","5","8","nan","nan"
"3","5","6","4","7","2","8","1","nan","nan"
"6","3","2","4","5","1","8","7","nan","nan"
"2","1","8","4","7","3","6","5","nan","nan"
"2","1","5","4","3","skipped","skipped","skipped","nan","nan"
"3","7","8","2","1","5","4","skipped","nan","nan"
"2","3","7","4","8","1","5","skipped","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","7","3","5","6","8","2","nan","nan"
"8","7","6","5","skipped","skipped","skipped","skipped","nan","nan"
"1","5","6","2","3","4","7","8","nan","nan"
"4","7","2","3","6","5","8","1","nan","nan"
"1","6","5","3","8","4","7","2","nan","nan"
"4","2","5","8","6","3","7","1","nan","nan"
"1","3","5","6","7","2","8","4","nan","nan"
"4","3","5","2","8","1","7","6","nan","nan"
"6","4","7","2","5","1","8","3","nan","nan"
"3","4","5","6","7","2","8","1","nan","nan"
"2","6","1","5","7","3","8","4","nan","nan"
"4","5","6","1","7","3","8","2","nan","nan"
"8","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"4","6","7","2","3","5","8","1","nan","nan"
"6","8","4","2","7","5","3","1","nan","nan"
"5","2","7","4","6","1","8","3","nan","nan"
