rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,1,2,9,3,8,5,4,7,6,1.0,10.0
10,10,10,10,10,10,10,10,10,1,,
6,4,1,6,5,6,3,2,6,6,,
6,3,4,9,7,5,10,2,1,8,,
10,10,10,10,2,1,10,10,10,10,,
4,10,7,6,1,3,9,2,8,5,,
2,8,5,3,10,1,4,6,7,9,,
7,5,2,6,4,1,3,8,10,9,,
1,9,2,6,5,3,7,4,10,8,,
4,8,2,6,5,1,10,7,9,3,,
10,3,2,9,5,6,4,1,7,8,,
10,10,2,10,1,3,7,5,4,6,,
9,5,10,6,1,1,7,4,8,3,,
2,5,8,1,10,4,3,9,6,7,,
8,8,3,6,5,1,3,9,7,4,,
1,9,10,3,6,2,8,7,5,4,,
10,2,6,9,3,8,5,4,1,7,,
10,8,4,2,5,7,9,6,1,3,,
4,2,1,8,6,5,3,7,9,10,,
8,3,1,9,2,5,6,4,10,7,,
9,4,6,8,5,1,10,2,3,7,,
6,7,3,10,2,8,4,5,10,1,,
4,9,6,5,1,7,3,2,10,8,,
10,3,8,7,6,2,4,1,5,9,,
2,10,1,4,7,3,6,8,9,5,,
6,10,8,1,2,5,7,9,3,4,,
7,5,9,4,1,10,3,6,2,8,,
5,2,10,8,3,9,7,4,6,1,,
1,7,10,2,5,8,10,3,4,6,,
5,5,10,8,4,3,9,1,2,7,,
5,9,4,3,6,8,2,1,10,7,,
4,3,10,9,2,6,1,8,5,10,,
10,6,2,6,4,1,9,3,7,8,,
5,3,2,9,6,7,1,4,8,10,,
6,8,4,3,7,2,9,5,10,1,,
4,3,9,5,6,1,8,10,7,2,,
8,7,3,6,1,2,5,10,9,4,,
9,6,10,4,2,1,8,5,7,3,,
4,10,7,6,8,9,3,2,1,5,,
8,6,4,10,1,3,3,7,9,2,,
2,8,5,9,3,4,7,6,10,1,,
10,10,10,10,10,10,10,10,10,10,,
