"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"1","10","6","5","9","7","8","2","3","11","12","4","12.0","1.0"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","4","5","10","9","1","6","3","12","11","7","nan","nan"
"2","12","3","6","5","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","3","7","12","6","1","4","5","10","8","11","nan","nan"
"1","10","2","9","6","8","3","5","4","12","11","7","nan","nan"
"2","3","1","8","11","9","5","4","6","10","12","7","nan","nan"
"2","12","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","3","10","9","5","8","1","4","7","11","2","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","10","9","3","5","12","1","4","6","8","7","nan","nan"
"3","12","2","4","10","5","9","1","6","11","7","8","nan","nan"
"10","3","9","7","4","2","12","11","1","8","6","5","nan","nan"
"9","4","5","2","7","6","1","8","3","12","11","10","nan","nan"
"2","1","6","10","8","11","5","3","9","7","12","4","nan","nan"
"4","10","5","3","1","11","12","7","6","9","8","2","nan","nan"
"4","12","5","3","6","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","6","4","3","2","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","7","9","6","8","3","5","12","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","1","8","10","9","6","2","3","12","11","5","nan","nan"
"10","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","4","10","5","7","9","1","2","12","11","6","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","1","6","10","8","2","3","12","7","skipped","skipped","nan","nan"
"5","12","3","10","11","4","6","2","7","9","1","8","nan","nan"
"2","9","4","8","10","3","12","1","5","7","11","6","nan","nan"
"1","8","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","3","7","11","6","2","1","4","12","8","9","nan","nan"
"2","7","3","8","9","10","6","4","1","11","12","5","nan","nan"
"2","7","5","6","11","8","3","1","4","12","9","skipped","nan","nan"
"2","11","3","8","9","4","1","6","12","5","7","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","12","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","1","6","12","8","3","2","5","10","11","9","nan","nan"
"3","7","2","12","8","4","1","5","10","skipped","skipped","skipped","nan","nan"
"3","8","1","7","4","6","2","10","9","5","skipped","skipped","nan","nan"
"2","8","3","6","11","10","5","1","12","4","7","9","nan","nan"
"3","6","2","4","10","11","5","1","12","9","8","7","nan","nan"
"3","12","2","1","11","4","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","5","7","8","4","11","1","3","12","10","6","nan","nan"
"5","8","12","7","3","2","4","1","skipped","skipped","skipped","skipped","nan","nan"
"2","12","1","11","6","7","9","5","3","10","8","4","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","3","4","2","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","6","3","2","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","6","3","10","4","7","5","1","11","9","12","nan","nan"
"4","8","1","10","7","5","6","2","3","12","11","9","nan","nan"
"8","2","5","4","12","3","6","1","7","11","9","10","nan","nan"
"4","11","12","10","2","7","9","1","8","3","5","6","nan","nan"
"1","6","2","8","9","10","3","4","5","12","11","7","nan","nan"
"12","3","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","4","9","12","6","8","1","2","10","5","7","nan","nan"
"4","11","3","6","9","12","2","1","5","10","8","7","nan","nan"
"2","12","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","1","10","9","8","7","2","4","11","12","6","nan","nan"
"2","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","3","10","8","4","6","1","5","12","7","9","nan","nan"
"2","12","1","5","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","5","8","3","6","9","1","10","12","11","2","nan","nan"
"8","9","5","6","11","2","7","1","4","12","10","3","nan","nan"
"3","11","2","12","5","4","8","6","7","10","9","1","nan","nan"
"3","4","2","7","10","11","9","1","5","12","8","6","nan","nan"
"4","3","8","7","12","10","2","5","1","9","6","skipped","nan","nan"
"4","8","2","11","3","10","7","1","6","9","12","5","nan","nan"
"6","3","8","5","4","10","1","9","7","12","11","2","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","4","10","11","3","12","1","7","9","5","6","nan","nan"
"12","5","1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","8","5","11","7","3","2","4","12","9","10","nan","nan"
"1","2","10","7","3","6","4","12","9","8","5","11","nan","nan"
"9","6","5","4","3","7","1","2","8","skipped","skipped","skipped","nan","nan"
"1","3","5","7","9","10","6","11","4","2","8","12","nan","nan"
"3","12","2","11","7","5","4","1","8","10","6","skipped","nan","nan"
"4","3","6","9","2","11","5","1","8","12","10","7","nan","nan"
"2","11","5","12","3","1","4","6","skipped","skipped","skipped","skipped","nan","nan"
"2","7","6","8","3","10","9","1","4","11","12","5","nan","nan"
"2","3","8","4","12","5","6","1","7","skipped","skipped","skipped","nan","nan"
"6","3","7","2","10","5","4","8","1","12","11","9","nan","nan"
"2","7","4","6","8","11","3","1","5","12","10","9","nan","nan"
"6","12","1","7","5","2","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","2","8","7","12","5","3","4","10","11","6","nan","nan"
