rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
1,11,8,7,9,6,10,3,2,12,5,4,1.0,12.0
12,12,12,2,12,12,12,12,12,12,12,1,,
9,4,7,11,10,8,3,5,12,2,1,6,,
12,12,12,12,12,12,1,12,12,12,12,12,,
8,4,1,6,9,10,5,11,2,7,12,3,,
12,12,12,12,12,2,12,1,12,12,12,2,,
12,12,12,12,12,12,12,12,12,12,12,12,,
9,3,12,4,8,6,1,7,11,5,10,2,,
12,12,12,12,12,12,12,12,12,12,12,1,,
3,5,9,12,2,7,4,1,6,10,11,8,,
12,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,4,11,1,9,5,2,8,6,7,3,10,,
12,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
7,6,10,2,4,3,9,12,8,1,11,5,,
5,4,11,8,7,3,1,6,10,2,9,12,,
6,1,6,6,6,3,6,12,2,6,4,5,,
4,1,6,9,8,10,3,11,2,12,7,5,,
11,9,7,6,8,4,3,12,10,2,1,5,,
12,12,12,12,12,12,12,12,12,1,12,12,,
1,1,1,1,1,1,1,12,1,1,1,1,,
1,1,1,1,1,1,1,12,1,1,1,1,,
1,1,1,1,1,1,1,12,1,1,1,1,,
7,12,4,9,6,10,1,3,5,11,2,8,,
5,2,7,4,3,1,10,12,6,11,9,8,,
2,12,12,12,12,12,12,1,11,12,12,12,,
7,9,11,8,6,1,10,12,4,2,3,5,,
1,12,12,12,12,12,12,12,12,12,12,12,,
6,10,8,5,9,4,5,1,11,3,2,7,,
5,4,7,10,8,6,1,11,9,12,3,2,,
8,1,9,2,11,10,4,12,6,3,7,5,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,1,12,,
3,8,2,7,6,5,9,10,4,11,12,1,,
6,10,11,11,8,1,9,12,7,3,2,4,,
12,12,12,12,12,12,12,1,12,12,12,12,,
5,1,2,1,11,6,4,11,1,5,12,2,,
11,9,12,1,8,6,3,2,10,7,5,4,,
9,1,5,7,8,11,2,12,6,4,10,3,,
11,4,10,3,12,7,5,9,8,6,1,2,,
1,12,12,12,12,12,12,12,12,12,12,12,,
5,3,2,7,8,9,6,10,1,11,12,4,,
3,11,11,11,11,2,11,12,11,11,1,11,,
12,12,12,12,12,12,1,12,12,12,12,12,,
4,6,2,8,11,10,9,1,5,12,7,3,,
11,3,2,8,10,5,9,1,7,4,6,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,6,1,12,12,12,12,9,10,12,,
5,4,3,9,2,12,11,1,7,6,8,10,,
12,1,5,4,10,8,2,11,3,7,9,6,,
12,12,12,12,12,12,12,1,12,12,12,12,,
1,12,3,4,8,9,11,7,3,10,5,6,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,12,12,2,12,12,1,12,,
12,12,3,12,6,5,4,1,8,12,2,12,,
7,4,5,6,11,2,10,12,3,1,8,9,,
1,3,12,12,12,12,4,12,12,2,12,12,,
4,10,2,11,7,5,8,12,3,6,9,1,,
12,12,12,12,12,12,1,12,12,12,12,12,,
11,9,8,4,10,1,7,6,3,12,5,2,,
12,12,12,12,12,12,12,1,12,12,12,12,,
11,11,11,11,12,11,11,1,11,11,11,11,,
12,12,12,6,5,12,12,12,3,6,12,12,,
9,1,5,2,8,4,7,12,6,3,11,10,,
2,3,1,4,7,8,10,12,6,11,5,9,,
9,4,7,11,10,8,3,5,12,2,1,6,,
2,1,1,1,12,6,1,4,1,10,4,1,,
4,6,8,12,10,2,11,5,1,7,9,3,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,3,5,11,4,2,6,1,10,8,9,7,,
8,12,1,11,4,7,5,9,3,6,10,2,,
12,12,12,12,12,12,12,1,12,12,12,12,,
4,1,3,11,8,6,9,12,7,10,5,2,,
3,12,2,6,9,4,11,1,5,10,7,8,,
12,3,12,12,12,12,2,12,12,12,1,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
1,5,4,3,10,11,8,6,7,12,9,2,,
11,11,11,11,2,1,11,12,11,11,11,11,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,5,11,6,7,8,4,1,9,2,3,10,,
10,2,7,1,11,9,3,12,8,4,5,6,,
12,12,12,12,12,12,12,12,12,12,12,1,,
3,2,9,6,11,8,5,12,4,10,7,1,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,2,1,12,,
7,3,8,4,11,9,5,10,2,12,6,1,,
3,9,2,11,1,4,10,7,8,5,12,6,,
8,2,4,6,7,11,1,12,5,9,10,3,,
12,12,12,12,12,12,12,1,12,12,12,12,,
3,5,11,10,1,12,9,2,7,6,8,4,,
8,3,5,10,11,4,9,12,2,6,7,1,,
12,12,12,12,12,12,1,12,12,12,12,12,,
4,8,3,5,7,11,6,12,1,9,2,10,,
5,1,4,6,8,10,7,9,3,12,11,2,,
12,12,12,12,12,12,12,12,12,12,12,12,,
1,3,9,12,8,5,6,4,12,7,2,10,,
12,12,12,12,12,12,12,12,12,12,1,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
4,11,12,6,2,7,12,1,3,2,9,12,,
7,1,1,5,4,8,1,3,1,6,9,2,,
