rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
5,1,10,9,11,6,7,8,3,12,4,13,2,1.0,13.0
5,13,1,13,13,2,13,13,3,4,13,13,13,,
2,12,1,13,12,3,12,12,13,13,12,4,13,,
12,3,4,6,8,10,1,8,5,8,2,13,7,,
1,5,3,4,13,2,13,13,13,13,13,13,13,,
13,8,2,3,1,13,7,4,6,13,5,13,9,,
10,5,1,8,4,11,6,9,3,2,7,12,13,,
8,12,2,11,6,9,10,5,4,3,7,13,1,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
13,2,13,13,13,13,13,13,3,13,13,13,1,,
5,8,1,3,10,12,9,7,4,2,6,13,11,,
13,13,2,5,3,13,4,1,6,13,13,13,13,,
13,13,1,1,13,13,6,1,1,13,5,13,13,,
1,4,3,5,13,2,13,13,13,13,13,13,13,,
1,13,13,13,13,2,13,13,13,13,13,13,13,,
13,13,1,5,13,13,4,13,13,2,3,13,13,,
13,13,1,5,13,13,4,13,2,13,3,13,13,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
10,12,7,2,3,11,1,6,4,8,9,13,5,,
13,1,2,5,13,13,13,13,13,3,4,13,13,,
13,5,1,4,3,13,2,8,6,13,9,13,7,,
11,8,2,4,10,12,5,1,3,9,6,13,7,,
5,3,13,2,13,4,13,13,13,6,13,13,1,,
13,13,13,13,4,13,13,3,2,13,13,13,1,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
10,7,6,12,9,11,1,8,8,4,2,13,3,,
13,13,3,13,13,13,4,13,1,13,13,13,2,,
1,13,13,13,13,2,13,13,13,13,13,13,13,,
4,2,12,11,13,1,3,9,8,6,10,13,5,,
13,13,13,13,13,13,13,13,13,1,13,13,13,,
13,13,13,13,13,13,13,13,13,2,13,13,1,,
