"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"3","5","2","4","8","1","skipped","skipped","8.0","1.0"
"4","6","1","2","5","3","7","8","nan","nan"
"3","4","2","8","1","5","skipped","skipped","nan","nan"
"8","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"2","8","3","7","6","1","5","4","nan","nan"
"4","3","2","6","7","1","5","8","nan","nan"
"4","5","2","3","8","1","6","7","nan","nan"
"3","5","1","4","8","2","6","7","nan","nan"
"3","6","2","5","8","1","4","7","nan","nan"
"3","6","2","8","7","1","5","4","nan","nan"
"5","4","2","3","8","1","6","7","nan","nan"
"3","6","2","5","7","1","8","4","nan","nan"
"6","4","2","7","5","1","3","8","nan","nan"
"4","5","2","6","7","1","3","8","nan","nan"
"4","3","2","8","7","1","5","6","nan","nan"
"3","5","2","4","8","1","6","7","nan","nan"
"6","5","1","3","4","2","8","7","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","2","4","8","1","6","3","nan","nan"
"4","7","2","5","8","1","3","6","nan","nan"
"4","5","2","3","8","1","6","7","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","2","3","6","1","4","7","nan","nan"
"5","6","1","4","8","2","3","7","nan","nan"
"8","5","3","2","6","1","7","skipped","nan","nan"
"3","6","2","4","8","1","7","5","nan","nan"
"4","5","2","8","6","1","3","skipped","nan","nan"
"3","6","1","4","5","2","8","7","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","5","6","1","4","7","nan","nan"
"5","7","2","3","6","1","8","4","nan","nan"
"3","4","2","5","8","1","7","6","nan","nan"
"5","8","2","3","6","1","4","7","nan","nan"
"3","7","2","4","6","1","8","5","nan","nan"
"3","5","2","4","8","1","6","7","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","2","4","8","1","7","6","nan","nan"
"3","6","1","4","8","2","5","7","nan","nan"
"4","7","2","3","6","1","5","8","nan","nan"
"6","5","2","3","7","1","4","8","nan","nan"
"4","8","2","3","6","1","5","7","nan","nan"
"3","5","2","4","7","1","6","8","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"3","6","2","5","8","1","4","7","nan","nan"
"7","8","1","3","4","2","5","6","nan","nan"
"4","8","1","2","7","3","6","5","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","2","4","6","1","5","8","nan","nan"
"3","7","2","4","8","1","5","6","nan","nan"
"3","5","1","4","8","2","7","6","nan","nan"
"4","5","2","7","8","1","6","skipped","nan","nan"
"5","4","2","3","8","1","skipped","skipped","nan","nan"
"3","6","1","7","8","2","4","5","nan","nan"
"5","4","2","1","8","7","3","6","nan","nan"
"4","7","2","3","8","1","5","6","nan","nan"
"4","7","2","3","8","1","6","5","nan","nan"
"3","7","2","4","8","1","6","5","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","2","4","8","1","5","6","nan","nan"
"7","3","8","5","1","4","skipped","skipped","nan","nan"
"3","5","2","6","7","1","4","8","nan","nan"
"3","8","2","4","6","1","5","7","nan","nan"
"3","4","2","5","8","1","7","6","nan","nan"
"3","5","1","4","8","2","7","6","nan","nan"
"4","6","2","3","8","1","5","7","nan","nan"
"4","6","2","3","8","1","5","7","nan","nan"
"5","6","2","3","7","1","4","8","nan","nan"
"3","5","2","8","1","6","skipped","skipped","nan","nan"
"3","7","1","4","6","2","5","8","nan","nan"
"4","8","1","3","7","2","5","6","nan","nan"
"5","8","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","2","3","8","1","6","5","nan","nan"
