"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"7","1","5","6","8","4","2","3","8.0","1.0"
"4","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"1","4","7","2","3","6","5","8","nan","nan"
"2","7","8","5","1","6","3","4","nan","nan"
"5","7","2","4","6","3","8","1","nan","nan"
"3","4","1","7","2","5","6","skipped","nan","nan"
"1","3","6","5","4","2","skipped","skipped","nan","nan"
"2","4","5","3","7","1","skipped","skipped","nan","nan"
"2","5","1","3","4","6","skipped","skipped","nan","nan"
"1","5","7","2","4","6","3","skipped","nan","nan"
"1","6","5","3","4","2","skipped","skipped","nan","nan"
"4","7","1","5","8","3","6","2","nan","nan"
"1","4","8","3","5","7","2","6","nan","nan"
"8","3","7","1","5","4","6","2","nan","nan"
"1","3","8","2","5","4","6","7","nan","nan"
"1","6","3","2","8","4","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","6","5","7","8","3","2","nan","nan"
"2","4","6","5","1","3","skipped","skipped","nan","nan"
"2","3","8","7","1","5","6","4","nan","nan"
"1","6","8","2","5","7","3","4","nan","nan"
"2","1","8","4","5","3","skipped","skipped","nan","nan"
"1","4","8","2","3","skipped","skipped","skipped","nan","nan"
"8","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"1","8","2","4","3","7","skipped","skipped","nan","nan"
"1","8","2","3","skipped","skipped","skipped","skipped","nan","nan"
"1","8","4","3","2","skipped","skipped","skipped","nan","nan"
"5","2","3","4","6","1","skipped","skipped","nan","nan"
"1","4","5","3","2","skipped","skipped","skipped","nan","nan"
"4","1","8","3","2","skipped","skipped","skipped","nan","nan"
"1","2","6","3","5","4","skipped","skipped","nan","nan"
"1","4","7","5","3","2","6","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","3","2","skipped","skipped","skipped","nan","nan"
"6","5","2","4","7","3","1","skipped","nan","nan"
"4","1","8","3","2","skipped","skipped","skipped","nan","nan"
"4","2","8","1","3","skipped","skipped","skipped","nan","nan"
"8","4","2","5","6","1","3","skipped","nan","nan"
"1","8","2","4","3","skipped","skipped","skipped","nan","nan"
"3","2","6","5","4","7","1","skipped","nan","nan"
"4","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","2","3","6","5","skipped","skipped","nan","nan"
"7","5","1","4","8","2","3","skipped","nan","nan"
"4","1","2","8","3","skipped","skipped","skipped","nan","nan"
"8","5","3","1","6","2","4","skipped","nan","nan"
"1","6","8","2","4","5","7","3","nan","nan"
