"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"8","4","5","3","9","10","6","2","1","7","10.0","1.0"
"2","6","3","8","10","9","5","4","1","7","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","2","4","5","6","1","7","skipped","skipped","nan","nan"
"9","2","10","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","5","3","4","skipped","skipped","skipped","skipped","nan","nan"
"3","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","2","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","3","4","9","10","5","8","1","2","nan","nan"
"2","7","4","9","8","6","10","5","1","3","nan","nan"
"2","4","3","1","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","2","1","10","skipped","skipped","skipped","skipped","nan","nan"
"3","10","2","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","3","6","10","7","5","1","skipped","skipped","nan","nan"
"4","2","1","10","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","7","9","10","4","5","1","6","nan","nan"
"8","9","7","2","4","6","3","10","1","5","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","10","9","7","2","6","3","8","5","nan","nan"
"1","10","4","5","7","2","3","skipped","skipped","skipped","nan","nan"
"4","3","2","5","10","7","6","1","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","5","4","2","6","1","skipped","skipped","skipped","nan","nan"
"3","6","10","2","7","9","8","5","1","4","nan","nan"
"5","9","8","2","7","6","4","10","1","3","nan","nan"
"10","2","4","3","6","1","5","skipped","skipped","skipped","nan","nan"
"3","5","6","2","8","10","9","4","1","7","nan","nan"
"3","6","7","2","10","9","5","8","1","4","nan","nan"
"10","7","1","6","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","2","5","10","7","6","1","skipped","skipped","nan","nan"
"5","3","4","2","1","10","skipped","skipped","skipped","skipped","nan","nan"
"10","3","8","9","2","7","5","1","6","skipped","nan","nan"
"3","5","9","2","4","10","7","8","1","6","nan","nan"
"2","6","1","5","3","10","4","8","7","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","2","4","3","1","5","skipped","skipped","skipped","nan","nan"
"6","7","4","3","9","5","8","10","1","2","nan","nan"
"4","2","10","9","8","1","7","3","5","6","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","1","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","10","6","8","4","5","3","1","2","7","nan","nan"
"4","1","10","9","7","2","6","3","8","5","nan","nan"
"3","8","4","10","6","5","7","9","2","1","nan","nan"
"4","3","2","5","9","7","10","6","1","8","nan","nan"
"1","10","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","2","5","10","7","6","1","skipped","skipped","nan","nan"
"3","10","1","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","2","1","10","skipped","skipped","skipped","skipped","nan","nan"
"3","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","3","1","4","7","6","skipped","skipped","skipped","nan","nan"
"1","10","4","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","4","9","5","1","10","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","9","2","5","7","3","6","1","10","nan","nan"
