"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"5","6","8","2","7","11","12","9","3","1","4","10","12.0","1.0"
"11","6","9","10","2","12","8","4","5","3","1","7","nan","nan"
"10","9","5","1","3","6","4","12","7","2","11","skipped","nan","nan"
"6","12","4","1","3","2","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","11","4","1","12","6","3","7","2","8","skipped","nan","nan"
"12","1","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","4","9","8","11","12","1","10","2","5","3","7","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","12","6","4","11","2","10","3","5","1","9","nan","nan"
"10","7","12","11","1","6","9","8","4","3","2","5","nan","nan"
"7","10","12","6","4","11","5","2","1","3","skipped","skipped","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","10","6","11","12","8","4","1","3","7","2","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","11","1","2","10","4","3","5","skipped","skipped","skipped","nan","nan"
"3","7","10","11","4","12","6","5","8","2","1","9","nan","nan"
"7","8","10","4","11","12","6","9","2","1","3","5","nan","nan"
"8","6","10","12","1","3","11","7","9","5","2","4","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","12","11","1","3","8","5","6","skipped","skipped","skipped","nan","nan"
"12","5","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","8","5","11","6","10","3","1","4","skipped","skipped","nan","nan"
"6","12","4","5","1","10","7","3","9","2","8","skipped","nan","nan"
"6","4","10","3","8","12","7","11","2","1","9","5","nan","nan"
"12","1","2","4","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","11","5","6","12","8","10","3","1","2","9","nan","nan"
"2","9","3","6","12","10","4","8","7","1","11","5","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","12","1","5","9","7","11","4","2","skipped","skipped","nan","nan"
"12","1","2","4","5","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","10","7","11","12","8","9","2","1","4","6","nan","nan"
"4","6","3","9","2","11","12","10","8","5","1","7","nan","nan"
"4","6","10","9","2","12","11","5","8","1","3","7","nan","nan"
"12","7","1","2","6","4","5","3","8","skipped","skipped","skipped","nan","nan"
"6","8","10","9","5","12","4","11","3","1","2","7","nan","nan"
"3","12","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","8","9","1","2","11","4","12","5","3","6","nan","nan"
"5","7","8","12","1","2","11","9","4","6","3","10","nan","nan"
"5","8","10","11","6","12","3","7","1","4","2","9","nan","nan"
"12","6","10","11","1","4","7","5","8","2","3","9","nan","nan"
"5","12","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","9","4","11","12","7","8","1","3","2","6","nan","nan"
"9","7","10","5","12","11","4","6","2","1","3","8","nan","nan"
"12","6","1","3","5","4","7","2","skipped","skipped","skipped","skipped","nan","nan"
"8","7","10","1","11","12","9","5","2","3","6","4","nan","nan"
"12","10","1","2","6","5","4","8","skipped","skipped","skipped","skipped","nan","nan"
"11","10","12","8","3","9","2","7","5","4","1","6","nan","nan"
"9","8","12","6","11","10","1","7","2","skipped","skipped","skipped","nan","nan"
"12","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","12","1","6","11","8","7","3","4","5","9","nan","nan"
"9","10","8","2","11","12","5","7","3","1","6","4","nan","nan"
"11","9","5","1","12","3","2","4","skipped","skipped","skipped","skipped","nan","nan"
"12","4","7","11","1","2","8","10","6","5","3","9","nan","nan"
"3","4","11","9","5","12","6","10","8","1","2","7","nan","nan"
"12","5","1","2","4","3","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
