rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
16,9,13,4,1,12,14,11,3,8,17,2,10,15,7,5,6,18,1.0,18.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,5,18,18,6,4,2,18,1,3,18,18,18,18,18,,
1,18,7,8,9,11,15,12,10,4,13,3,2,14,5,17,16,6,,
4,18,3,18,18,18,18,18,18,2,18,1,18,18,18,18,18,18,,
10,18,11,14,8,18,18,16,9,12,13,7,6,18,17,18,15,18,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
12,14,9,2,6,8,18,13,10,5,4,3,1,16,11,17,7,15,,
3,18,2,6,12,17,14,11,10,8,5,4,1,13,9,16,15,7,,
18,12,3,9,6,17,7,15,2,8,5,1,4,10,11,16,14,13,,
18,18,1,18,15,18,18,13,18,16,18,17,14,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
8,18,13,7,9,11,18,12,6,4,3,1,2,10,5,18,18,18,,
12,15,4,7,8,17,16,13,5,3,9,2,1,14,10,11,6,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
1,16,7,13,6,11,15,8,4,2,18,3,5,17,10,9,12,14,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,,
5,18,18,1,2,18,18,18,10,3,18,8,4,7,9,18,18,6,,
14,18,18,17,18,18,18,18,18,16,18,15,1,18,18,18,18,13,,
8,10,1,4,8,6,3,9,7,7,2,7,5,8,7,10,10,8,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,,
18,18,4,18,18,18,18,18,18,3,2,18,1,18,18,18,18,18,,
1,15,8,13,18,2,9,3,14,4,11,7,5,10,12,17,16,6,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
18,1,5,4,18,18,18,18,18,2,18,18,3,18,18,18,18,18,,
12,18,5,6,4,18,18,13,9,1,11,3,2,14,6,18,8,10,,
3,18,7,17,6,15,4,16,18,9,11,14,2,13,5,1,10,12,,
7,17,5,14,6,12,9,8,11,2,4,1,3,13,10,18,16,15,,
18,18,2,18,18,18,18,18,3,4,18,1,5,18,18,18,18,18,,
10,6,1,1,2,8,2,11,2,1,4,2,2,5,3,14,2,6,,
6,15,5,7,14,12,16,8,9,1,10,2,3,13,4,17,11,18,,
Skipped,Skipped,3,2,8,Skipped,6,13,12,1,5,10,4,Skipped,9,11,Skipped,7,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,2,18,2,1,18,18,18,18,18,,
16,15,8,9,10,12,13,5,6,2,3,1,6,14,11,7,4,16,,
17,8,10,4,11,16,12,18,9,7,15,1,2,3,5,13,14,6,,
9,18,2,12,5,4,5,9,9,3,8,1,3,11,9,11,18,10,,
18,18,18,18,18,18,18,18,18,18,2,1,18,18,18,18,18,18,,
6,18,4,8,5,9,18,18,18,2,18,1,3,18,18,18,18,7,,
13,15,3,5,5,14,12,9,8,2,11,1,4,17,7,1,6,18,,
15,16,9,5,6,12,8,4,13,3,7,2,1,10,10,14,17,11,,
Skipped,5,Skipped,6,Skipped,10,11,8,Skipped,1,4,2,3,7,Skipped,9,Skipped,Skipped,,
