rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
8,11,4,2,5,6,11,3,1,11,7,1.0,11.0
5,10,2,3,11,8,4,7,9,1,6,,
5,11,11,11,1,5,11,11,2,2,11,,
11,11,11,3,11,2,11,11,11,1,11,,
1,4,9,3,6,7,10,11,8,2,5,,
9,3,6,7,2,4,5,10,11,1,8,,
11,11,2,11,11,11,11,11,3,1,11,,
11,11,11,11,3,11,11,11,11,1,2,,
6,10,2,7,11,3,9,8,4,1,5,,
11,11,11,2,11,1,11,4,3,11,5,,
11,11,2,11,11,11,11,11,11,1,11,,
11,11,11,11,11,11,11,11,11,1,11,,
7,8,2,11,9,10,6,4,5,1,3,,
6,7,3,5,8,10,11,2,4,1,9,,
3,10,5,10,10,10,10,1,2,11,4,,
1,1,11,1,2,1,2,2,1,11,1,,
1,11,11,11,4,11,11,11,5,1,3,,
8,6,9,5,7,2,11,10,4,1,3,,
8,3,2,4,11,10,7,5,6,1,9,,
3,8,4,7,9,11,5,6,2,1,10,,
4,5,7,11,9,3,8,10,1,2,6,,
8,4,11,11,11,1,11,3,11,2,11,,
11,11,3,11,11,11,11,11,1,2,11,,
11,10,9,11,11,11,11,3,2,1,11,,
10,11,1,11,11,4,11,2,11,3,11,,
5,6,8,7,3,2,9,10,11,1,4,,
11,5,3,11,11,1,11,11,2,4,11,,
5,11,11,1,3,11,11,4,2,6,11,,
6,8,2,10,7,3,5,11,4,1,9,,
11,11,3,11,5,4,11,11,2,1,11,,
11,11,3,11,11,2,11,11,11,1,11,,
11,11,2,9,11,8,11,11,3,11,1,,
6,9,3,2,4,1,7,10,11,5,8,,
6,8,2,9,5,7,10,11,4,3,1,,
11,2,4,5,11,3,11,11,11,1,11,,
11,11,11,11,5,11,11,11,11,1,3,,
8,11,7,5,1,2,11,6,9,3,4,,
10,11,10,11,11,11,11,11,11,1,11,,
11,11,11,11,11,11,11,11,11,1,11,,
11,11,2,11,11,3,5,11,4,1,11,,
7,3,1,10,5,8,9,11,2,4,6,,
11,3,2,11,11,4,11,11,11,1,11,,
11,11,2,11,3,11,11,11,11,1,11,,
4,3,2,11,9,6,8,7,10,1,5,,
11,11,1,11,11,11,11,11,11,2,11,,
7,6,2,7,8,5,11,10,4,1,9,,
11,11,11,11,11,11,11,11,11,1,11,,
