"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"1","4","2","6","9","7","3","5","skipped","9.0","1.0"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","2","5","9","8","1","3","7","nan","nan"
"9","4","5","6","2","1","7","8","3","nan","nan"
"4","6","7","9","2","1","8","5","3","nan","nan"
"9","8","2","5","3","7","1","4","6","nan","nan"
"4","5","7","9","1","3","2","8","6","nan","nan"
"3","9","4","5","1","2","skipped","skipped","skipped","nan","nan"
"2","5","9","7","6","4","8","1","3","nan","nan"
"1","2","6","4","9","8","3","5","7","nan","nan"
"1","4","7","8","3","6","5","2","9","nan","nan"
"1","5","7","2","9","8","4","3","6","nan","nan"
"4","2","9","6","8","3","1","5","7","nan","nan"
"4","5","9","2","1","6","3","skipped","skipped","nan","nan"
"1","4","6","9","3","2","7","5","8","nan","nan"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","6","9","7","2","5","8","nan","nan"
"7","5","2","8","4","6","3","9","1","nan","nan"
"2","6","3","5","9","7","1","4","8","nan","nan"
"4","5","2","6","7","9","1","8","3","nan","nan"
"4","6","7","8","2","1","5","3","skipped","nan","nan"
"9","6","2","7","3","1","4","8","5","nan","nan"
"3","4","2","5","9","1","6","skipped","skipped","nan","nan"
"1","5","8","9","7","4","6","2","3","nan","nan"
"1","2","4","5","8","9","6","3","7","nan","nan"
"1","2","4","6","9","5","3","skipped","skipped","nan","nan"
"1","2","8","7","6","3","4","5","skipped","nan","nan"
"8","7","2","4","3","9","1","6","5","nan","nan"
"1","2","4","5","9","6","3","skipped","skipped","nan","nan"
"3","6","9","4","8","2","5","7","1","nan","nan"
"5","1","3","4","9","8","2","7","6","nan","nan"
"1","7","2","3","9","5","6","4","8","nan","nan"
"3","6","9","4","7","2","5","8","1","nan","nan"
"2","9","1","5","4","8","7","3","skipped","nan","nan"
"2","3","5","6","9","7","4","1","8","nan","nan"
"3","6","1","4","7","9","2","5","8","nan","nan"
"1","8","3","9","5","4","7","6","2","nan","nan"
"1","3","5","9","8","7","2","4","6","nan","nan"
"1","7","9","8","2","3","skipped","skipped","skipped","nan","nan"
"3","7","9","8","5","4","1","6","2","nan","nan"
"2","4","9","6","1","8","5","3","7","nan","nan"
"1","9","4","2","3","skipped","skipped","skipped","skipped","nan","nan"
"7","5","2","9","3","1","6","8","4","nan","nan"
"1","4","8","3","9","2","skipped","skipped","skipped","nan","nan"
"1","7","9","8","6","2","5","4","3","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","7","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","5","7","6","4","3","2","8","nan","nan"
"3","1","4","6","8","9","2","5","7","nan","nan"
"2","8","9","7","6","3","1","5","4","nan","nan"
"5","2","6","4","9","8","3","1","7","nan","nan"
