rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,numSeats,numCands
36,9,9,36,7,12,14,13,3,1,9,16,6,15,16,15,12,16,8,4,5,2,16,10,16,16,15,14,11,10,36,16,16,13,8,2,1.0,36.0
33,19,14,34,30,24,25,27,16,4,17,6,28,21,23,1,9,26,12,3,13,2,36,18,11,10,31,22,20,7,15,32,8,35,5,29,,
24,20,8,36,13,27,17,20,4,2,12,7,20,11,15,25,36,17,17,3,18,5,36,6,20,36,26,10,14,9,16,20,25,17,17,1,,
1,10,36,11,36,36,36,36,1,36,36,36,36,1,1,36,1,36,36,3,36,36,15,3,1,36,3,2,15,36,36,10,36,10,36,2,,
32,20,7,36,13,29,14,17,3,1,16,4,15,5,11,24,31,18,9,25,6,19,26,10,12,23,30,21,36,22,36,27,36,36,8,2,,
36,36,36,36,36,36,8,36,36,1,7,36,36,36,36,36,36,4,5,3,36,36,36,6,36,36,36,36,36,9,36,36,36,36,36,2,,
20,20,20,20,6,2,20,20,15,1,3,20,20,20,20,20,20,20,5,1,20,20,35,3,20,20,20,10,4,20,36,20,20,30,20,1,,
2,11,36,36,36,10,36,9,1,13,36,36,36,12,36,36,3,36,36,36,36,36,36,5,7,36,36,36,8,36,36,4,36,36,36,6,,
36,36,36,36,36,36,6,36,10,1,5,36,36,36,8,36,36,36,7,3,36,36,36,4,36,36,36,36,36,9,36,36,36,36,36,2,,
36,36,36,36,36,36,36,8,3,1,36,36,36,36,36,4,36,36,36,2,36,5,36,36,36,36,36,7,36,36,36,36,36,36,36,6,,
2,2,4,36,7,7,7,5,5,1,2,8,6,3,9,3,2,10,2,4,3,1,35,2,4,5,6,9,2,3,2,8,4,36,4,1,,
9,9,9,9,9,9,9,9,5,2,9,9,9,9,8,9,9,9,9,4,9,6,36,7,9,9,9,9,9,9,9,9,9,9,9,1,,
10,6,14,36,29,25,22,23,20,1,4,27,26,19,34,12,7,33,5,3,11,8,36,17,18,21,24,28,16,9,36,32,15,36,13,2,,
36,21,29,36,23,16,27,10,15,2,28,12,5,22,14,3,19,20,17,13,9,6,36,4,30,36,26,7,31,25,8,24,11,36,18,1,,
4,8,14,15,15,10,15,15,1,7,15,36,15,9,15,15,2,15,15,6,13,3,16,15,5,15,15,12,15,15,36,15,15,36,15,11,,
35,4,14,33,24,31,21,19,25,6,1,22,23,7,29,10,9,27,3,16,8,2,34,15,20,11,30,26,17,5,32,28,12,36,18,13,,
6,8,36,36,36,36,36,36,1,36,36,7,36,3,36,36,2,36,36,5,36,36,10,36,4,36,36,9,36,36,36,36,36,36,36,36,,
29,9,6,34,20,34,20,9,8,5,14,15,1,22,11,7,25,15,13,3,4,24,36,30,12,24,9,31,32,28,16,22,29,35,33,2,,
36,36,36,36,36,36,36,36,4,1,36,36,36,10,13,11,36,36,8,3,36,5,36,36,36,12,9,6,36,36,36,36,36,36,7,2,,
14,6,7,36,33,36,33,33,33,2,9,33,32,33,33,12,11,33,4,33,15,3,34,5,33,33,33,33,33,8,33,33,13,35,10,1,,
4,6,16,36,12,36,36,17,1,15,14,36,11,9,36,13,3,36,10,36,7,2,36,8,5,36,36,36,36,36,36,18,36,36,36,36,,
6,36,36,36,36,36,36,36,36,1,36,36,36,7,36,36,4,36,36,36,36,36,36,2,36,5,36,36,36,36,8,36,36,36,36,3,,
36,10,36,36,12,14,36,36,2,5,8,9,36,36,36,36,36,36,13,1,36,6,15,36,7,36,36,36,4,11,36,36,3,36,36,36,,
1,15,15,36,15,15,15,15,1,15,36,15,15,1,1,36,1,15,15,15,15,15,30,15,1,15,15,15,36,15,36,1,15,36,15,1,,
32,9,4,36,18,15,31,31,16,1,5,31,20,31,31,12,11,31,6,3,8,10,35,31,19,14,36,31,31,7,36,31,13,36,17,2,,
36,36,36,36,36,36,36,6,5,3,36,36,36,4,36,2,36,36,36,8,36,36,36,36,36,36,36,7,36,36,9,36,36,36,36,1,,
35,35,5,35,35,35,35,35,5,4,35,3,35,35,3,35,35,35,35,4,6,4,36,2,35,35,35,35,35,35,35,35,35,35,35,1,,
36,8,7,36,7,36,7,8,1,4,5,5,6,10,10,9,30,5,5,10,5,3,11,8,6,36,36,8,7,5,36,10,30,36,5,2,,
30,14,21,30,22,23,22,22,10,1,5,22,22,19,22,30,22,22,18,9,20,13,36,3,12,29,4,15,8,16,30,22,11,24,17,2,,
10,4,26,28,20,11,18,7,31,14,17,23,21,33,13,9,2,24,30,3,6,1,35,22,5,12,25,27,34,15,8,32,16,29,19,36,,
2,2,4,9,7,7,7,5,5,1,2,8,6,3,9,3,2,10,2,4,3,1,36,6,4,5,6,9,5,3,2,8,4,8,4,1,,
16,9,17,36,29,14,22,18,20,2,1,33,3,10,23,13,25,21,11,30,6,8,35,7,24,32,27,15,19,5,31,28,26,34,12,4,,
27,12,2,26,22,31,23,20,4,3,13,21,11,14,25,29,7,17,9,1,6,10,36,19,28,32,33,18,15,8,35,24,30,34,16,5,,
1,1,1,36,36,36,36,36,36,1,1,36,36,36,36,1,1,36,1,36,1,1,36,1,36,36,36,36,1,1,36,36,1,36,36,1,,
36,1,3,36,6,11,6,4,4,1,1,7,5,2,8,11,36,9,1,3,2,10,35,5,3,36,36,8,4,2,36,7,11,36,3,2,,
32,6,8,35,28,31,16,24,1,3,10,19,18,4,25,14,13,21,5,27,7,12,29,9,20,15,23,26,30,17,36,22,33,34,11,2,,
36,36,36,36,36,36,36,36,3,2,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,4,,
