"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"8","9","3","5","11","12","10","7","2","1","6","4","12.0","1.0"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","4","6","10","3","11","2","7","8","1","skipped","nan","nan"
"1","12","3","4","2","7","9","8","5","6","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","11","4","1","9","12","2","3","5","6","10","7","nan","nan"
"4","11","3","1","9","10","8","12","6","2","7","5","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","1","9","8","6","10","4","3","5","skipped","skipped","nan","nan"
"6","10","4","11","7","12","9","8","2","1","5","3","nan","nan"
"10","8","3","9","7","2","12","11","5","1","4","6","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","7","4","6","3","12","8","1","2","skipped","skipped","nan","nan"
"3","10","2","1","12","9","8","11","6","4","7","5","nan","nan"
"7","5","9","11","12","1","3","4","8","6","2","10","nan","nan"
"5","9","6","7","10","11","8","12","1","2","3","4","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","1","7","11","12","4","10","5","6","9","2","nan","nan"
"3","5","6","12","9","11","2","8","7","1","10","4","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","6","11","8","12","2","7","9","1","10","4","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","2","11","12","8","5","3","1","7","9","4","nan","nan"
"6","1","2","7","4","5","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","5","9","10","12","11","4","3","1","2","8","nan","nan"
"1","8","7","5","12","11","2","6","4","10","9","skipped","nan","nan"
"5","9","3","7","12","1","10","2","8","6","4","skipped","nan","nan"
"1","11","4","2","9","8","7","12","5","3","10","6","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","5","3","1","11","8","9","6","2","4","7","nan","nan"
"5","11","2","3","8","12","10","4","1","7","9","6","nan","nan"
"3","10","2","1","11","7","9","12","5","4","8","6","nan","nan"
"5","11","8","7","9","12","3","10","1","6","2","4","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","7","5","9","4","10","2","6","3","1","12","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","9","5","10","4","1","6","8","3","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","2","1","8","12","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","2","1","9","10","8","12","6","4","7","5","nan","nan"
"7","3","1","4","11","12","2","10","9","6","8","5","nan","nan"
"6","12","3","8","9","10","4","11","2","5","7","1","nan","nan"
"9","5","2","4","11","12","10","6","1","8","7","3","nan","nan"
"4","9","5","8","12","10","6","11","1","2","7","3","nan","nan"
"5","6","1","4","10","11","9","8","7","skipped","skipped","skipped","nan","nan"
"6","8","7","9","5","12","10","11","2","4","1","3","nan","nan"
"8","5","4","7","11","10","12","2","3","6","9","1","nan","nan"
"12","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","8","4","5","3","11","12","2","1","6","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","7","8","10","12","9","11","5","4","3","1","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","6","8","9","11","4","1","10","7","skipped","skipped","nan","nan"
"7","11","5","6","4","2","8","10","1","9","3","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","5","4","12","9","7","10","6","1","8","2","nan","nan"
"3","9","7","6","1","12","8","11","5","2","4","skipped","nan","nan"
