voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
1,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
2,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
3,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
4,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
5,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
6,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
7,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
8,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
9,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
10,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
11,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
12,Benjamin BRIDGMAN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3,7
13,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),skipped,skipped,skipped,skipped,skipped,3,7
14,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Rosalind GARTON (Lab),skipped,skipped,skipped,skipped,3,7
15,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Rosalind GARTON (Lab),Alisdair GILBERT (LD),Linda HOLT (Con),skipped,skipped,3,7
16,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Rosalind GARTON (Lab),Margaret HARPER (SNP),skipped,skipped,skipped,3,7
17,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Rosalind GARTON (Lab),Margaret HARPER (SNP),Alisdair GILBERT (LD),Bill PORTEOUS (LD),skipped,3,7
18,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Alisdair GILBERT (LD),skipped,skipped,skipped,skipped,3,7
19,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Alisdair GILBERT (LD),skipped,skipped,skipped,skipped,3,7
20,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Alisdair GILBERT (LD),Rosalind GARTON (Lab),Bill PORTEOUS (LD),Margaret HARPER (SNP),Linda HOLT (Con),3,7
21,Benjamin BRIDGMAN (Grn),John DOCHERTY (SNP),Alisdair GILBERT (LD),Bill PORTEOUS (LD),Margaret HARPER (SNP),Rosalind GARTON (Lab),skipped,3,7
