voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Ken ANDREW (SNP),Hanzala MALIK Glasgow (Lab),Colin MCMILLAN (Freedom Alliance). No More Experimental Jabs.,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Mark RUSSELL (Con),3,6
1,Ken ANDREW (SNP),Hanzala MALIK Glasgow (Lab),Colin MCMILLAN (Freedom Alliance). No More Experimental Jabs.,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Mark RUSSELL (Con),3,6
2,Ken ANDREW (SNP),Hanzala MALIK Glasgow (Lab),Colin MCMILLAN (Freedom Alliance). No More Experimental Jabs.,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Mark RUSSELL (Con),3,6
3,Ken ANDREW (SNP),Hanzala MALIK Glasgow (Lab),Colin MCMILLAN (Freedom Alliance). No More Experimental Jabs.,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Mark RUSSELL (Con),3,6
4,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Mark RUSSELL (Con),Colin MCMILLAN (Freedom Alliance). No More Experimental Jabs.,Ken ANDREW (SNP),Martha WARDROP Re-elect your (Grn) Councillor,3,6
5,Martha WARDROP Re-elect your (Grn) Councillor,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Mark RUSSELL (Con),skipped,skipped,3,6
6,Martha WARDROP Re-elect your (Grn) Councillor,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Mark RUSSELL (Con),skipped,skipped,3,6
7,Hanzala MALIK Glasgow (Lab),Ken ANDREW (SNP),Mark RUSSELL (Con),skipped,skipped,skipped,3,6
8,Hanzala MALIK Glasgow (Lab),Ken ANDREW (SNP),Mark RUSSELL (Con),skipped,skipped,skipped,3,6
9,Hanzala MALIK Glasgow (Lab),Ken ANDREW (SNP),Mark RUSSELL (Con),skipped,skipped,skipped,3,6
10,Hanzala MALIK Glasgow (Lab),Ken ANDREW (SNP),Mark RUSSELL (Con),skipped,skipped,skipped,3,6
11,Hanzala MALIK Glasgow (Lab),Ken ANDREW (SNP),Mark RUSSELL (Con),skipped,skipped,skipped,3,6
12,Hanzala MALIK Glasgow (Lab),Ken ANDREW (SNP),Mark RUSSELL (Con),skipped,skipped,skipped,3,6
13,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
14,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
15,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
16,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
17,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
18,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
19,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
20,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
21,Hanzala MALIK Glasgow (Lab),Theo LOCKETT (LD),Martha WARDROP Re-elect your (Grn) Councillor,Ken ANDREW (SNP),skipped,skipped,3,6
22,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
23,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
24,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
25,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
26,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
27,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
28,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
29,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
30,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
31,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
32,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
33,Martha WARDROP Re-elect your (Grn) Councillor,Theo LOCKETT (LD),Hanzala MALIK Glasgow (Lab),skipped,skipped,skipped,3,6
