voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
1,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
2,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
3,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
4,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
5,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
6,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
7,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
8,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
9,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
10,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
11,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
12,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
13,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
14,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
15,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
16,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
17,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
18,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
19,Graeme CAMPBELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
