voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,3,6
1,Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,3,6
2,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),3,6
3,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),3,6
4,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),3,6
5,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),3,6
6,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),skipped,3,6
7,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),skipped,3,6
8,Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),skipped,skipped,3,6
9,Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Leagh DOUGLAS (Con),Scott REDPATH (Lab),3,6
10,Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
11,Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
12,Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
13,Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
14,Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
15,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),skipped,3,6
16,Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Scott REDPATH (Lab),Elaine THORNTON-NICOL (SNP),Leagh DOUGLAS (Con),3,6
17,Caroline COCHRANE (Ind),Leagh DOUGLAS (Con),Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Gordon EDGAR (Ind),3,6
18,Gordon EDGAR (Ind),Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,3,6
19,Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Gordon EDGAR (Ind),Scott REDPATH (Lab),skipped,3,6
20,Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Gordon EDGAR (Ind),Scott REDPATH (Lab),skipped,3,6
21,Elaine THORNTON-NICOL (SNP),Leagh DOUGLAS (Con),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
22,Elaine THORNTON-NICOL (SNP),Leagh DOUGLAS (Con),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
23,Elaine THORNTON-NICOL (SNP),Leagh DOUGLAS (Con),Scott REDPATH (Lab),skipped,skipped,skipped,3,6
24,Barbra HARVIE (Grn),Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Scott REDPATH (Lab),Gordon EDGAR (Ind),skipped,3,6
25,Barbra HARVIE (Grn),Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Scott REDPATH (Lab),Gordon EDGAR (Ind),skipped,3,6
26,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Scott REDPATH (Lab),3,6
27,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Scott REDPATH (Lab),3,6
28,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),3,6
29,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Gordon EDGAR (Ind),skipped,skipped,skipped,3,6
30,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Gordon EDGAR (Ind),skipped,skipped,skipped,3,6
31,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Gordon EDGAR (Ind),skipped,skipped,skipped,3,6
32,Leagh DOUGLAS (Con),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
33,Leagh DOUGLAS (Con),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
34,Leagh DOUGLAS (Con),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
35,Barbra HARVIE (Grn),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),Gordon EDGAR (Ind),3,6
36,Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Elaine THORNTON-NICOL (SNP),skipped,3,6
37,Leagh DOUGLAS (Con),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),3,6
38,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),skipped,3,6
39,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),skipped,3,6
40,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),skipped,3,6
41,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),skipped,3,6
42,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Barbra HARVIE (Grn),Caroline COCHRANE (Ind),Leagh DOUGLAS (Con),Gordon EDGAR (Ind),3,6
43,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
44,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
45,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
46,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
47,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
48,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
49,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
50,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
51,Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
52,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),skipped,skipped,3,6
53,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
54,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
55,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
56,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
57,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
58,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
59,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
60,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
61,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
62,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Leagh DOUGLAS (Con),skipped,skipped,skipped,3,6
63,Scott REDPATH (Lab),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),3,6
64,Scott REDPATH (Lab),Barbra HARVIE (Grn),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),3,6
65,Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),skipped,skipped,3,6
66,Barbra HARVIE (Grn),Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Scott REDPATH (Lab),Elaine THORNTON-NICOL (SNP),3,6
67,Barbra HARVIE (Grn),Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Scott REDPATH (Lab),Elaine THORNTON-NICOL (SNP),3,6
68,Caroline COCHRANE (Ind),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),Barbra HARVIE (Grn),skipped,3,6
69,Leagh DOUGLAS (Con),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Scott REDPATH (Lab),3,6
70,Scott REDPATH (Lab),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
71,Scott REDPATH (Lab),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
72,Scott REDPATH (Lab),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
73,Scott REDPATH (Lab),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
74,Scott REDPATH (Lab),Gordon EDGAR (Ind),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
75,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
76,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
77,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
78,Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Gordon EDGAR (Ind),Leagh DOUGLAS (Con),3,6
79,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
80,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
81,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
82,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
83,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
84,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
85,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
86,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
87,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
88,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
89,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
90,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
91,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
92,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
93,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
94,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
95,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
96,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),Caroline COCHRANE (Ind),skipped,skipped,skipped,3,6
97,Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
98,Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
99,Leagh DOUGLAS (Con),Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),skipped,skipped,skipped,3,6
100,Leagh DOUGLAS (Con),Scott REDPATH (Lab),Gordon EDGAR (Ind),Caroline COCHRANE (Ind),Elaine THORNTON-NICOL (SNP),skipped,3,6
101,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
102,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
103,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
104,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
105,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
106,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
107,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
108,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
109,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
110,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
111,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
112,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
113,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
114,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
115,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
116,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
117,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
118,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
119,Barbra HARVIE (Grn),Elaine THORNTON-NICOL (SNP),skipped,skipped,skipped,skipped,3,6
120,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),skipped,3,6
121,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),skipped,3,6
122,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),skipped,3,6
123,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),skipped,3,6
124,Elaine THORNTON-NICOL (SNP),Barbra HARVIE (Grn),Scott REDPATH (Lab),Caroline COCHRANE (Ind),Gordon EDGAR (Ind),skipped,3,6
