voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Karen CONAGHAN (SNP),David MCBRIDE (Lab),Chris POLLOCK (SNP),Andrew Joseph MUIR (SFP),skipped,skipped,skipped,skipped,skipped,4,9
1,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Brian WALKER (Con),Andrew Joseph MUIR (SFP),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Lynda MCEWAN (Soc),Karen CONAGHAN (SNP),Chris POLLOCK (SNP),4,9
2,Karen CONAGHAN (SNP),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Gurpreet Singh JOHAL (Lab),skipped,skipped,skipped,skipped,skipped,4,9
3,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Brian WALKER (Con),Kelly WILSON (Sovereignty),4,9
4,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),Karen CONAGHAN (SNP),Chris POLLOCK (SNP),skipped,skipped,skipped,4,9
5,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Brian WALKER (Con),Kelly WILSON (Sovereignty),4,9
6,David MCBRIDE (Lab),Karen CONAGHAN (SNP),Andrew Joseph MUIR (SFP),skipped,skipped,skipped,skipped,skipped,skipped,4,9
7,David MCBRIDE (Lab),Karen CONAGHAN (SNP),Andrew Joseph MUIR (SFP),skipped,skipped,skipped,skipped,skipped,skipped,4,9
8,David MCBRIDE (Lab),Karen CONAGHAN (SNP),Andrew Joseph MUIR (SFP),skipped,skipped,skipped,skipped,skipped,skipped,4,9
9,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Brian WALKER (Con),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),4,9
10,Brian WALKER (Con),David MCBRIDE (Lab),Karen CONAGHAN (SNP),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Andrew Joseph MUIR (SFP),Kelly WILSON (Sovereignty),4,9
11,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Brian WALKER (Con),4,9
12,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Brian WALKER (Con),4,9
13,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Brian WALKER (Con),4,9
14,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Brian WALKER (Con),Kelly WILSON (Sovereignty),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Andrew Joseph MUIR (SFP),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),4,9
15,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Lynda MCEWAN (Soc),David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Andrew Joseph MUIR (SFP),Brian WALKER (Con),4,9
16,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Jonathan RAINEY (Libtn),Andrew Joseph MUIR (SFP),Brian WALKER (Con),4,9
17,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Jonathan RAINEY (Libtn),Andrew Joseph MUIR (SFP),Brian WALKER (Con),4,9
18,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Jonathan RAINEY (Libtn),Andrew Joseph MUIR (SFP),Brian WALKER (Con),4,9
19,Brian WALKER (Con),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Gurpreet Singh JOHAL (Lab),skipped,skipped,skipped,skipped,skipped,4,9
20,Brian WALKER (Con),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Gurpreet Singh JOHAL (Lab),skipped,skipped,skipped,skipped,skipped,4,9
21,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
22,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
23,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
24,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
25,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
26,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
27,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
28,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
29,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
30,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
31,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
32,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
33,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
34,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,skipped,4,9
35,Chris POLLOCK (SNP),Karen CONAGHAN (SNP),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,4,9
36,David MCBRIDE (Lab),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),Karen CONAGHAN (SNP),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),Jonathan RAINEY (Libtn),Brian WALKER (Con),4,9
37,Lynda MCEWAN (Soc),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
38,Lynda MCEWAN (Soc),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
39,Lynda MCEWAN (Soc),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
40,Lynda MCEWAN (Soc),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
41,Lynda MCEWAN (Soc),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
42,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Jonathan RAINEY (Libtn),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Brian WALKER (Con),4,9
43,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Lynda MCEWAN (Soc),Kelly WILSON (Sovereignty),Jonathan RAINEY (Libtn),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Brian WALKER (Con),4,9
44,Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
45,Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,9
46,Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),Andrew Joseph MUIR (SFP),skipped,skipped,skipped,skipped,skipped,skipped,4,9
47,Gurpreet Singh JOHAL (Lab),Karen CONAGHAN (SNP),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Chris POLLOCK (SNP),Brian WALKER (Con),Kelly WILSON (Sovereignty),4,9
48,Lynda MCEWAN (Soc),David MCBRIDE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
49,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Kelly WILSON (Sovereignty),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Brian WALKER (Con),4,9
50,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Brian WALKER (Con),Andrew Joseph MUIR (SFP),4,9
51,Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Brian WALKER (Con),Andrew Joseph MUIR (SFP),4,9
52,David MCBRIDE (Lab),Brian WALKER (Con),Gurpreet Singh JOHAL (Lab),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),4,9
53,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Lynda MCEWAN (Soc),Jonathan RAINEY (Libtn),Kelly WILSON (Sovereignty),Chris POLLOCK (SNP),Karen CONAGHAN (SNP),Brian WALKER (Con),Andrew Joseph MUIR (SFP),4,9
54,Lynda MCEWAN (Soc),Karen CONAGHAN (SNP),Chris POLLOCK (SNP),Kelly WILSON (Sovereignty),Jonathan RAINEY (Libtn),Andrew Joseph MUIR (SFP),Brian WALKER (Con),Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),4,9
55,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),Karen CONAGHAN (SNP),skipped,skipped,skipped,skipped,4,9
56,David MCBRIDE (Lab),Gurpreet Singh JOHAL (Lab),Karen CONAGHAN (SNP),Andrew Joseph MUIR (SFP),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,4,9
57,Karen CONAGHAN (SNP),Lynda MCEWAN (Soc),Chris POLLOCK (SNP),Gurpreet Singh JOHAL (Lab),Jonathan RAINEY (Libtn),David MCBRIDE (Lab),Kelly WILSON (Sovereignty),Andrew Joseph MUIR (SFP),skipped,4,9
58,Karen CONAGHAN (SNP),Jonathan RAINEY (Libtn),Gurpreet Singh JOHAL (Lab),Lynda MCEWAN (Soc),Andrew Joseph MUIR (SFP),Chris POLLOCK (SNP),Brian WALKER (Con),David MCBRIDE (Lab),Kelly WILSON (Sovereignty),4,9
59,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
60,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
61,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
62,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
63,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
64,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
65,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
66,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
67,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
68,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
69,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
70,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
71,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
72,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
73,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
74,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
75,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
76,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
77,Gurpreet Singh JOHAL (Lab),David MCBRIDE (Lab),Lynda MCEWAN (Soc),skipped,skipped,skipped,skipped,skipped,skipped,4,9
