,file_name,num_cands,old_winner,new_winner,ballot_change_num,modified_ballots
0,./data/scotland/scottish by-elections/Ward10-PerthCitySouth_Perth Kinross 2017 by-election Ward 10.csv,6,B,E,151,"[['F', 'D', 'A'], ['CE', 151]]"
1,./data/scotland/dumgal12-ballots/CastleDouglasandGlenkensWard_dumgal12-05.csv,7,F,G,13,"[['C', 'A', 'D', 'B'], ['EG', 13]]"
2,./data/scotland/dumgal12-ballots/AnnandaleNorthWard_dumgal12-12.csv,7,G,A,125,"[['C'], ['EA', 36], ['EAB', 2], ['EABF', 2], ['EAD', 6], ['EADF', 1], ['EAF', 3], ['EBA', 4], ['EBAF', 1], ['EBFA', 1], ['EDA', 4], ['EFA', 3], ['EFAD', 1], ['EABDGF', 1], ['EABG', 2], ['EADG', 1], ['EAFG', 2], ['EAFGBD', 1], ['EAFGDB', 1], ['EAG', 53]]"
3,./data/scotland/dumgal22/Ward5-Abbey_ward5.csv,5,B,E,234,"[['D', 'A'], ['CE', 234]]"
4,./data/scotland/aberdeenshire22/preferenceprofile_v0001_ward-9-ellon-and-district_06052022_172124.csv,7,G,E,523,"[['D'], ['ABE', 191], ['ABEC', 2], ['ABEF', 62], ['ABFE', 22], ['ACE', 1], ['AE', 43], ['AEB', 60], ['AEBF', 21], ['AEC', 2], ['AEF', 15], ['AEFB', 5], ['AFBE', 2], ['AFE', 6], ['AFEB', 3], ['ABECFG', 2], ['ABECGF', 3], ['ABEFCG', 34], ['ABEFGC', 18], ['ABEG', 4], ['ABEGCF', 4], ['ABEGF', 1], ['ABEGFC', 2], ['ABFECG', 5], ['ABFEGC', 5], ['AEBCFG', 1], ['AEBFCG', 2], ['AEBFGC', 5], ['AEBG', 1], ['AEBGCF', 1]]"
5,./data/scotland/aberdeenshire22/v0001_ward-11-inverurie-and-district_06052022_172124.csv,6,A,C,246,"[['B', 'E', 'F'], ['DC', 246]]"
6,./data/scotland/glasgow2007 preflib/Partick_partick.csv,9,A,E,261,"[['B', 'G', 'H'], ['ICDE', 5], ['ICDEF', 2], ['ICDFE', 1], ['ICE', 90], ['ICED', 8], ['ICEDF', 2], ['ICEF', 40], ['ICEFD', 3], ['ICFE', 41], ['ICFED', 2], ['IDCE', 1], ['IDCEF', 1], ['IDE', 7], ['IDECF', 1], ['IDEF', 1], ['IE', 30], ['IEC', 18], ['IECD', 6], ['IECF', 2]]"
7,./data/scotland/falkirk17-ballots/Ward7-FalkirkSouth_falkirk17-07.csv,4,A,D,262,"[['C'], ['BD', 262]]"
8,./data/scotland/highland17-ballots/Ward19-InvernessSouth_highland17-19.csv,8,B,A,37,"[['F', 'C', 'G', 'H', 'D'], ['EA', 37]]"
9,./data/scotland/n-ayrshire12-ballots/Ward05-ArdrossanandArran_n-ayrshire12-05.csv,10,D,C,119,"[['J', 'I', 'F', 'A', 'H', 'B'], ['EC', 119]]"
10,./data/scotland/e-lothian17-ballots/DunbarandEastLinton_e-lothian17-06.csv,6,D,B,204,"[['E'], ['AB', 5], ['ABC', 7], ['ABCF', 2], ['ABF', 9], ['ABFC', 1], ['ACB', 6], ['ACFB', 8], ['AFB', 45], ['AFBC', 12], ['AFCB', 24], ['ABCFD', 3], ['ABFDC', 1], ['ACBD', 1], ['ACBDF', 3], ['ACBFD', 1], ['ACFBD', 17], ['AFBCD', 24], ['AFBDC', 7], ['AFCBD', 28]]"
11,./data/scotland/aberdeenshire17-ballots/Ward12-EastGarioch_aberdeenshire17-12.csv,6,E,F,85,"[['C', 'D', 'A'], ['BF', 85]]"
12,./data/scotland/edinburgh17-ballots/Ward12-LeithWalk_edinburgh17-12.csv,10,G,F,122,"[['J', 'I', 'C', 'B', 'E', 'H', 'D'], ['AF', 122]]"
13,./data/scotland/fife17-ballots/Ward4-DunfermlineSouth_fife17-04.csv,7,C,E,112,"[['G', 'D', 'A', 'F'], ['BE', 112]]"
14,./data/scotland/edinburgh22/Ward9-Fountainbridge-Craiglockhart_ward9.csv,7,A,B,185,"[['F', 'D', 'C'], ['EB', 185]]"
15,./data/scotland/edinburgh22/Ward10-Morningside_ward10.csv,7,E,C,728,"[['F', 'A'], ['BC', 157], ['BCD', 1], ['BCG', 195], ['BCGD', 1], ['BDC', 2], ['BDGC', 1], ['BGC', 371]]"
16,./data/scotland/aberdeenshire12-ballots/WesthillandDistrictWard_aberdeenshire12-13.csv,5,B,A,87,"[['E', 'C'], ['DA', 87]]"
17,"./data/scotland/e-renfs17-ballots/Clarkston,NetherleeandWilliamwood_e-renfs17-4.csv",11,I,F,166,"[['E', 'J', 'K', 'D', 'B', 'C', 'H', 'A'], ['GF', 166]]"
18,./data/scotland/n-ayrshire22/Ward01-NorthCoast_Preference-Profile-North-Coast_copy.csv,12,K,L,195,"[['B', 'I', 'G', 'D', 'F', 'E', 'A', 'J', 'C'], ['HL', 195]]"
19,./data/scotland/e-renfs22/Ward3‐GiffnockandThornliebank_ward3_copy.csv,7,G,B,121,"[['F', 'A', 'E', 'C'], ['DB', 121]]"
20,./data/scotland/s-lanarks17-ballots/Ward16-BothwellandUddingston_s-lanarks17-16.csv,6,D,A,43,"[['F', 'C', 'E'], ['BA', 43]]"
21,./data/scotland/s-lanarks17-ballots/Ward1-ClydesdaleWest_s-lanarks17-01.csv,8,H,B,13,"[['A', 'C', 'F', 'E', 'G'], ['DB', 13]]"
22,./data/scotland/eilean-siar12-ballots/SgireAnRubha_eilean-siar12-05.csv,7,G,C,6,"[['A', 'E'], ['DBC', 4], ['DBCF', 2]]"
