voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
1,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
2,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
3,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
4,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
5,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
6,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
7,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
8,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
9,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
10,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
11,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
12,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
13,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
14,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
15,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
16,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
17,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
18,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
19,(SNP) John Munro CORALL,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
20,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,skipped,skipped,skipped,skipped,skipped,skipped,4,8
21,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,skipped,skipped,skipped,skipped,skipped,skipped,4,8
22,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,skipped,skipped,skipped,skipped,skipped,skipped,4,8
23,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
24,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
25,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
26,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
27,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
28,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
29,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,4,8
30,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,(LD) Martin GREIG,skipped,skipped,skipped,skipped,4,8
31,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,(LD) Martin GREIG,(Grn) Peter Alexander KENNEDY,(Lab) Sandra MACDONALD,(LD) Jennifer STEWART,(Con) Ross THOMSON,4,8
32,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(SNP) Stephen Mark FLYNN,(LD) Jennifer STEWART,(LD) Martin GREIG,skipped,skipped,skipped,4,8
33,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(LD) Martin GREIG,(Lab) Sandra MACDONALD,skipped,skipped,skipped,skipped,4,8
34,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(Grn) Peter Alexander KENNEDY,skipped,skipped,skipped,skipped,skipped,4,8
35,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(Grn) Peter Alexander KENNEDY,skipped,skipped,skipped,skipped,skipped,4,8
36,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(LD) Jennifer STEWART,skipped,skipped,skipped,skipped,skipped,4,8
37,(SNP) John Munro CORALL,(Ind) Jim FARQUHARSON,(Con) Ross THOMSON,(LD) Martin GREIG,(LD) Jennifer STEWART,skipped,skipped,skipped,4,8
38,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
39,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
40,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
41,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
42,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
43,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
44,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
45,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
46,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
47,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
48,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
49,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
50,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
51,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
52,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
53,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
54,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
55,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
56,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
57,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
58,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
59,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
60,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
61,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
62,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
63,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
64,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
65,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
66,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
67,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
68,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
69,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
70,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
71,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
72,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
73,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
74,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
75,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
76,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
77,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
78,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
79,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
80,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
81,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
82,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
83,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
84,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
85,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
86,(SNP) John Munro CORALL,(SNP) Stephen Mark FLYNN,skipped,skipped,skipped,skipped,skipped,skipped,4,8
