voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Donna CLARK (SNP) Party (SNP),Ciaran MCRAE (SNP) Party (SNP),Gordon GRAHAM Aberdeen (Lab) (Lab),Graeme Stephen LAWRENCE Aberdeen (Lab) (Lab),Louise MCCAFFERTY (Grn) Party (Grn),Nestor CARLSEN-DEVEREUX Scottish (Con) and Unionist (Con),Sam FORMAN Scottish (LD) (LD),Lucas Smith GRANT Scottish (TUSC) and Socialist Coalition (Soc),David MAITLAND (Alba) Party for independence ((Alba)),3,9
1,Gordon GRAHAM Aberdeen (Lab) (Lab),Sam FORMAN Scottish (LD) (LD),Lucas Smith GRANT Scottish (TUSC) and Socialist Coalition (Soc),Graeme Stephen LAWRENCE Aberdeen (Lab) (Lab),Ciaran MCRAE (SNP) Party (SNP),Louise MCCAFFERTY (Grn) Party (Grn),Nestor CARLSEN-DEVEREUX Scottish (Con) and Unionist (Con),Donna CLARK (SNP) Party (SNP),David MAITLAND (Alba) Party for independence ((Alba)),3,9
2,Graeme Stephen LAWRENCE Aberdeen (Lab) (Lab),Louise MCCAFFERTY (Grn) Party (Grn),Donna CLARK (SNP) Party (SNP),Nestor CARLSEN-DEVEREUX Scottish (Con) and Unionist (Con),skipped,skipped,skipped,skipped,skipped,3,9
3,Sam FORMAN Scottish (LD) (LD),Donna CLARK (SNP) Party (SNP),Nestor CARLSEN-DEVEREUX Scottish (Con) and Unionist (Con),Gordon GRAHAM Aberdeen (Lab) (Lab),Louise MCCAFFERTY (Grn) Party (Grn),skipped,skipped,skipped,skipped,3,9
4,Ciaran MCRAE (SNP) Party (SNP),Louise MCCAFFERTY (Grn) Party (Grn),Donna CLARK (SNP) Party (SNP),Gordon GRAHAM Aberdeen (Lab) (Lab),Graeme Stephen LAWRENCE Aberdeen (Lab) (Lab),skipped,skipped,skipped,skipped,3,9
5,Donna CLARK (SNP) Party (SNP),David MAITLAND (Alba) Party for independence ((Alba)),Lucas Smith GRANT Scottish (TUSC) and Socialist Coalition (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3,9
6,Louise MCCAFFERTY (Grn) Party (Grn),Donna CLARK (SNP) Party (SNP),Ciaran MCRAE (SNP) Party (SNP),Lucas Smith GRANT Scottish (TUSC) and Socialist Coalition (Soc),Sam FORMAN Scottish (LD) (LD),Gordon GRAHAM Aberdeen (Lab) (Lab),Graeme Stephen LAWRENCE Aberdeen (Lab) (Lab),Nestor CARLSEN-DEVEREUX Scottish (Con) and Unionist (Con),David MAITLAND (Alba) Party for independence ((Alba)),3,9
7,Donna CLARK (SNP) Party (SNP),Gordon GRAHAM Aberdeen (Lab) (Lab),David MAITLAND (Alba) Party for independence ((Alba)),skipped,skipped,skipped,skipped,skipped,skipped,3,9
8,Donna CLARK (SNP) Party (SNP),Gordon GRAHAM Aberdeen (Lab) (Lab),David MAITLAND (Alba) Party for independence ((Alba)),skipped,skipped,skipped,skipped,skipped,skipped,3,9
9,Donna CLARK (SNP) Party (SNP),Gordon GRAHAM Aberdeen (Lab) (Lab),David MAITLAND (Alba) Party for independence ((Alba)),skipped,skipped,skipped,skipped,skipped,skipped,3,9
