voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
0,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,Yvonne ALLAN Scottish Labour Party,Douglas FRASER Scottish Green Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,Yvonne ALLAN Scottish Labour Party,Douglas FRASER Scottish Green Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,Alison Elizabeth McBean EVISON Independent,David Allen NEILL Independent,Dave STEWART ,Laurie CARNIE Scottish Conservative and Unionist,George CARR Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
3,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,Yvonne ALLAN Scottish Labour Party,Douglas FRASER Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Alison Elizabeth McBean EVISON Independent,Laurie CARNIE Scottish Conservative and Unionist,George CARR Scottish Conservative and Unionist,David Allen NEILL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Alison Elizabeth McBean EVISON Independent,Laurie CARNIE Scottish Conservative and Unionist,George CARR Scottish Conservative and Unionist,David Allen NEILL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Alison Elizabeth McBean EVISON Independent,Laurie CARNIE Scottish Conservative and Unionist,George CARR Scottish Conservative and Unionist,David Allen NEILL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Yvonne ALLAN Scottish Labour Party,George CARR Scottish Conservative and Unionist,Shona EWEN Scottish Liberal Democrats,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,George CARR Scottish Conservative and Unionist,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,George CARR Scottish Conservative and Unionist,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,George CARR Scottish Conservative and Unionist,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,George CARR Scottish Conservative and Unionist,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,George CARR Scottish Conservative and Unionist,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
13,Kevin STELFOX Scottish National Party (SNP),Douglas FRASER Scottish Green Party,Dave STEWART ,Leigh WILSON Alba Party for independence,David Allen NEILL Independent,Alison Elizabeth McBean EVISON Independent,Shona EWEN Scottish Liberal Democrats,Yvonne ALLAN Scottish Labour Party,"Diane Elizabeth LAURENSON Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Laurie CARNIE Scottish Conservative and Unionist,George CARR Scottish Conservative and Unionist,4
14,George CARR Scottish Conservative and Unionist,Shona EWEN Scottish Liberal Democrats,Dave STEWART ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
