voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
1,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
2,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
3,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
4,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
5,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
6,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
7,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
8,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
9,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
10,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
11,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
12,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
13,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
14,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
15,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
16,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
17,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
18,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
19,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
20,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
21,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
22,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
23,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
24,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
25,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
26,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
27,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
28,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
29,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
30,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
31,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
32,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
33,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
34,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
35,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
36,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
37,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
38,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
39,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
40,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
41,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
42,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
43,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
44,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
45,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
46,Craig FOTHERINGHAM (C),skipped,skipped,skipped,skipped,4,5
