voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
0,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,Anne Julia CAMPBELL Scottish Green Party,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,4
1,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,Anne Julia CAMPBELL Scottish Green Party,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,4
2,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,Pamela RUDDY Scottish Labour Party,Lisa KEOGH Alba Party for independence,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),4
3,Rod FALCONER Scottish Liberal Democrats,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Pamela RUDDY Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4,David FAIRWEATHER Independent,Lisa KEOGH Alba Party for independence,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,Ian WREN Independent,skipped,skipped,skipped,skipped,4
6,Ian WREN Independent,David FAIRWEATHER Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,Pamela RUDDY Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
7,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),Anne Julia CAMPBELL Scottish Green Party,David FAIRWEATHER Independent,Rod FALCONER Scottish Liberal Democrats,Ian WREN Independent,Lisa KEOGH Alba Party for independence,Pamela RUDDY Scottish Labour Party,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,4
8,David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,Lisa KEOGH Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,Lisa KEOGH Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Rod FALCONER Scottish Liberal Democrats,David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,Pamela RUDDY Scottish Labour Party,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,4
11,Pamela RUDDY Scottish Labour Party,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,Rod FALCONER Scottish Liberal Democrats,Lisa KEOGH Alba Party for independence,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,4
