voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
1,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
3,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
4,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
5,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
6,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,Tommy SLOAN Independent,Willie SCOBIE Independent,4
7,Peter Richard BARLOW Scottish Green Party,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Ben DASHPER Scottish National Party (SNP),4
8,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
9,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
10,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
11,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
12,Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
13,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,skipped,skipped,4
14,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,4
15,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
16,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
17,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
18,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Ben DASHPER Scottish National Party (SNP),Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
19,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,4
20,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,4
21,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
22,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
23,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,4
24,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,4
25,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,4
26,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,4
27,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,4
28,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,4
