voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
1,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
2,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
3,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
4,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
5,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
6,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
7,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
8,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
9,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
10,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,skipped,skipped,4
11,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,David Robert SLATER Independent,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,skipped,skipped,4
12,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,Keith WALTERS Scottish Labour Party,David Robert SLATER Independent,skipped,skipped,skipped,4
13,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,Keith WALTERS Scottish Labour Party,David Robert SLATER Independent,skipped,skipped,skipped,4
14,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,Keith WALTERS Scottish Labour Party,David Robert SLATER Independent,skipped,skipped,skipped,4
15,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,Keith WALTERS Scottish Labour Party,David Robert SLATER Independent,skipped,skipped,skipped,4
16,John Gillespie CAMPBELL Scottish National Party (SNP),Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Malcolm JOHNSTONE Scottish Conservative and Unionist,skipped,skipped,skipped,4
17,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
18,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
19,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
20,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
21,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
22,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
23,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
24,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
25,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
26,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
27,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
28,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,skipped,skipped,skipped,skipped,4
29,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,David Robert SLATER Independent,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,4
30,John Gillespie CAMPBELL Scottish National Party (SNP),David Robert SLATER Independent,Anne MCLAUCHLAN Scottish Green Party,Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,4
31,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Keith WALTERS Scottish Labour Party,Angie WHITELAW Scottish Labour Party,Malcolm JOHNSTONE Scottish Conservative and Unionist,Anne MCLAUCHLAN Scottish Green Party,John Gillespie CAMPBELL Scottish National Party (SNP),4
32,John Gillespie CAMPBELL Scottish National Party (SNP),Malcolm JOHNSTONE Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,Alastair MUIR Scottish Conservative and Unionist,David Robert SLATER Independent,Keith WALTERS Scottish Labour Party,4
33,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
34,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
35,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
36,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
37,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
38,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
39,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
40,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
41,Malcolm JOHNSTONE Scottish Conservative and Unionist,Alastair MUIR Scottish Conservative and Unionist,Angie WHITELAW Scottish Labour Party,skipped,skipped,skipped,skipped,4
42,John Gillespie CAMPBELL Scottish National Party (SNP),Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,4
43,John Gillespie CAMPBELL Scottish National Party (SNP),Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,4
44,John Gillespie CAMPBELL Scottish National Party (SNP),Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,4
45,John Gillespie CAMPBELL Scottish National Party (SNP),Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,4
46,John Gillespie CAMPBELL Scottish National Party (SNP),Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,4
47,John Gillespie CAMPBELL Scottish National Party (SNP),Angie WHITELAW Scottish Labour Party,Keith WALTERS Scottish Labour Party,Anne MCLAUCHLAN Scottish Green Party,David Robert SLATER Independent,Alastair MUIR Scottish Conservative and Unionist,Malcolm JOHNSTONE Scottish Conservative and Unionist,4
