voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Jon HERD Scottish Conservative and Unionist ,Trevor GRANT Scottish Liberal Democrats ,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,4
1,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Jon HERD Scottish Conservative and Unionist ,Trevor GRANT Scottish Liberal Democrats ,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,4
2,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Jon HERD Scottish Conservative and Unionist ,Trevor GRANT Scottish Liberal Democrats ,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,4
3,Graham BARTON Scottish National Party (SNP) ,Barry DOUGLAS Scottish Labour Party ,Trevor GRANT Scottish Liberal Democrats ,Neal INGRAM Scottish National Party (SNP) ,Graham BOYD Independent ,Jon HERD Scottish Conservative and Unionist ,4
4,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,4
5,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,4
6,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
7,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
8,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
9,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
10,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
11,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
12,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
13,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Jon HERD Scottish Conservative and Unionist ,skipped,skipped,skipped,4
14,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Neal INGRAM Scottish National Party (SNP) ,Graham BARTON Scottish National Party (SNP) ,skipped,skipped,4
15,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Neal INGRAM Scottish National Party (SNP) ,Graham BARTON Scottish National Party (SNP) ,skipped,skipped,4
16,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Neal INGRAM Scottish National Party (SNP) ,Graham BARTON Scottish National Party (SNP) ,skipped,skipped,4
17,Barry DOUGLAS Scottish Labour Party ,Graham BOYD Independent ,Neal INGRAM Scottish National Party (SNP) ,Graham BARTON Scottish National Party (SNP) ,skipped,skipped,4
18,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
19,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
20,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
21,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
22,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
23,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
24,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,4
25,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,skipped,4
26,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,skipped,4
27,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,skipped,4
28,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,skipped,4
29,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,skipped,4
30,Trevor GRANT Scottish Liberal Democrats ,Barry DOUGLAS Scottish Labour Party ,skipped,skipped,skipped,skipped,4
31,Jon HERD Scottish Conservative and Unionist ,Barry DOUGLAS Scottish Labour Party ,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,skipped,skipped,4
32,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
33,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
34,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
35,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
36,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
37,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
38,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
39,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
40,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
41,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
42,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
43,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
44,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
45,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
46,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
47,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
48,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
49,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
50,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
51,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
52,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
53,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
54,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,Graham BOYD Independent ,Trevor GRANT Scottish Liberal Democrats ,skipped,skipped,4
55,Graham BARTON Scottish National Party (SNP) ,Neal INGRAM Scottish National Party (SNP) ,Trevor GRANT Scottish Liberal Democrats ,Graham BOYD Independent ,Barry DOUGLAS Scottish Labour Party ,Jon HERD Scottish Conservative and Unionist ,4
