voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
1,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
2,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
3,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
4,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
5,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
6,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
7,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
8,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
9,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
10,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
11,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
12,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
13,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
14,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
15,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
16,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
17,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
18,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
19,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
20,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
21,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
22,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
23,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
24,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
25,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
26,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
27,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
28,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
29,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
30,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
31,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
32,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
33,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
34,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
35,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
36,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
37,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
38,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
39,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
40,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
41,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
42,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
43,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
44,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
45,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
46,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
47,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
48,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
49,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
50,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
51,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
52,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
53,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
54,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
55,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
56,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
57,Elaine AITKEN  (Con),skipped,skipped,skipped,skipped,skipped,skipped,3,7
