voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
13,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
16,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
17,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
18,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
19,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
20,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
21,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
22,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
23,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
24,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
25,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
26,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
27,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
28,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
29,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
30,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
31,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
32,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
33,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
34,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
35,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
36,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
37,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
38,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
39,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
40,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
41,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
42,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
43,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
44,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
45,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
46,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
47,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
48,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
49,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
50,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
51,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
52,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
53,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
54,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
55,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
56,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
57,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
58,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
59,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
60,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
61,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
62,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
63,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
64,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
65,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
66,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
67,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
68,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
69,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
70,Graeme BRUCE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
