voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
1,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
2,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
3,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
4,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
5,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
6,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
7,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
8,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
9,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
10,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
11,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
12,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
13,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
14,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
15,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
16,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
17,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
18,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
19,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
20,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
21,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
22,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
23,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
24,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
25,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
26,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
27,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
28,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
29,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
30,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
31,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
32,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
33,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
34,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
35,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
36,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
37,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
38,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
39,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
40,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
41,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
42,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
43,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
44,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
45,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
46,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
47,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
48,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
49,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
50,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
51,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
52,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
53,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
54,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
55,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
56,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
57,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
58,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
59,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
60,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
61,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
62,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
63,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
64,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
65,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
66,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
67,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
68,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
69,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
70,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
71,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
72,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
73,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
74,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
75,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
76,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
77,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
78,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
79,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
80,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
81,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
82,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
83,Mike BRIDGMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
