voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
1,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
2,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
3,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
4,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
5,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
6,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
7,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
8,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
9,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
10,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
11,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
12,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
13,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
14,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
15,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
16,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
17,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
18,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
19,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
20,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
21,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
22,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
23,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
24,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
25,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
26,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
27,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
28,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
29,Ranald FRASER (C),skipped,skipped,skipped,skipped,3,4
