voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Marc BOZZA Independent,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
1,Marc BOZZA Independent,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
2,Marc BOZZA Independent,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
3,Marc BOZZA Independent,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
4,Rhys STENHOUSE Scottish Green Party,Robert SPEARS Independent,Alan NIMMO Scottish Labour Party,Marc BOZZA Independent,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Stuart MARTIN UKIP,3
5,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,3
6,David BALFOUR Scottish National Party (SNP),Alan NIMMO Scottish Labour Party,John HASTON Scottish National Party (SNP),Marc BOZZA Independent,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,Stuart MARTIN UKIP,Mandy BRYSON Scottish Conservative and Unionist,3
7,Mandy BRYSON Scottish Conservative and Unionist,David BALFOUR Scottish National Party (SNP),Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,3
8,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Marc BOZZA Independent,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,3
9,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Marc BOZZA Independent,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,3
10,Alan NIMMO Scottish Labour Party,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,Marc BOZZA Independent,Mandy BRYSON Scottish Conservative and Unionist,skipped,3
