voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
1,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
2,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
3,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
4,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
5,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
6,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
7,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
8,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
9,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
10,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
11,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
12,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
13,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
14,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
15,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
16,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
17,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
18,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
19,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
20,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
21,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
22,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
23,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
24,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
25,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
26,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
27,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
28,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
29,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
30,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
31,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
32,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
33,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
34,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
35,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
36,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
37,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
38,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
39,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
40,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
41,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
42,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
43,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
44,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
45,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
46,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
47,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
48,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
49,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
50,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
51,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
52,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
53,Susan AITKEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
