voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
0,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
1,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
2,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
3,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
4,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
6,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
7,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
8,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
9,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
10,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
11,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
12,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
13,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
14,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
15,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
16,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
17,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
18,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
19,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
20,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
21,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
22,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
23,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
24,# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
