voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Franny SCALLY Scottish National Party (SNP),Abdul BOSTANI Scottish National Party (SNP),Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Keiran O'NEILL Glasgow Labour,Damian Matthew CLARK Freedom Alliance. No More Experimental Jabs.,Derek DUNNINGTON Scottish Liberal Democrats,Gwen Farrell WALL Glasgow Labour,Heather MACLEOD Scottish Conservative and Unionist,3
1,Gwen Farrell WALL Glasgow Labour,Keiran O'NEILL Glasgow Labour,Derek DUNNINGTON Scottish Liberal Democrats,Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Damian Matthew CLARK Freedom Alliance. No More Experimental Jabs.,Heather MACLEOD Scottish Conservative and Unionist,Franny SCALLY Scottish National Party (SNP),Abdul BOSTANI Scottish National Party (SNP),3
2,Franny SCALLY Scottish National Party (SNP),Gwen Farrell WALL Glasgow Labour,Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Keiran O'NEILL Glasgow Labour,Abdul BOSTANI Scottish National Party (SNP),skipped,skipped,skipped,3
3,Derek DUNNINGTON Scottish Liberal Democrats,Abdul BOSTANI Scottish National Party (SNP),Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,skipped,skipped,skipped,skipped,skipped,3
4,Derek DUNNINGTON Scottish Liberal Democrats,Abdul BOSTANI Scottish National Party (SNP),Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,skipped,skipped,skipped,skipped,skipped,3
5,Franny SCALLY Scottish National Party (SNP),Gwen Farrell WALL Glasgow Labour,Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Abdul BOSTANI Scottish National Party (SNP),Keiran O'NEILL Glasgow Labour,Derek DUNNINGTON Scottish Liberal Democrats,Damian Matthew CLARK Freedom Alliance. No More Experimental Jabs.,Heather MACLEOD Scottish Conservative and Unionist,3
6,Derek DUNNINGTON Scottish Liberal Democrats,Franny SCALLY Scottish National Party (SNP),Gwen Farrell WALL Glasgow Labour,Abdul BOSTANI Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
7,Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),Gwen Farrell WALL Glasgow Labour,Keiran O'NEILL Glasgow Labour,Derek DUNNINGTON Scottish Liberal Democrats,Damian Matthew CLARK Freedom Alliance. No More Experimental Jabs.,Heather MACLEOD Scottish Conservative and Unionist,3
8,Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),Gwen Farrell WALL Glasgow Labour,Keiran O'NEILL Glasgow Labour,Derek DUNNINGTON Scottish Liberal Democrats,Damian Matthew CLARK Freedom Alliance. No More Experimental Jabs.,Heather MACLEOD Scottish Conservative and Unionist,3
9,Amy Irene MARQUEZ Scottish Greens - Delivering For Our Community,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),Gwen Farrell WALL Glasgow Labour,Keiran O'NEILL Glasgow Labour,Derek DUNNINGTON Scottish Liberal Democrats,Damian Matthew CLARK Freedom Alliance. No More Experimental Jabs.,Heather MACLEOD Scottish Conservative and Unionist,3
