voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
13,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
16,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
17,Christopher Alan BIRT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
