voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
18,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
19,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
20,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
21,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
22,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
23,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
24,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
25,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
26,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
27,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
28,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
29,Helen BLACKBUR (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
30,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
31,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
32,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
33,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Russell IMRI (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
34,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Russell IMRI (Lab),Owen THOMPSO (SNP),Andrew HARDI (Con),Alex JONE (Lab),Lynn LEITC (TUSC),George MCCLEER (Ind),Les THACKE (LD),3
35,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Russell IMRI (Lab),Owen THOMPSO (SNP),Alex JONE (Lab),skipped,skipped,skipped,skipped,3
36,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Lynn LEITC (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,3
37,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Lynn LEITC (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,3
38,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Lynn LEITC (TUSC),Owen THOMPSO (SNP),skipped,skipped,skipped,skipped,skipped,3
39,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),George MCCLEER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
40,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),George MCCLEER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
41,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),George MCCLEER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
42,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),George MCCLEER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
43,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),George MCCLEER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
44,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),George MCCLEER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
45,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Les THACKE (LD),skipped,skipped,skipped,skipped,skipped,skipped,3
46,Helen BLACKBUR (Grn),Andrew COVENTR (SNP),Les THACKE (LD),Russell IMRI (Lab),Alex JONE (Lab),skipped,skipped,skipped,skipped,3
