voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
1,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
2,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
3,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
4,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
5,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
6,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
7,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
8,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,skipped,4
9,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,James ALLAN Scottish Conservative and Unionist,Andrew O'NEILL Scottish Labour Party,4
10,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
11,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
12,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
13,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
14,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
15,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
16,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
17,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
18,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
19,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
20,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
21,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
22,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
23,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
24,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
25,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,skipped,4
