voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,John Ross SCOTT Scottish Greens,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
1,John Ross SCOTT Scottish Greens,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
2,John Ross SCOTT Scottish Greens,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
3,John Ross SCOTT Scottish Greens,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
4,John Ross SCOTT Scottish Greens,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
5,John Ross SCOTT Scottish Greens,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
6,David DAWSON Independent,Graham MACDONALD Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,4
7,David DAWSON Independent,Graham MACDONALD Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,4
8,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
9,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
10,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
11,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
12,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
13,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
14,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
15,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
16,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
17,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
18,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
19,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
20,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
21,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,skipped,skipped,4
22,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
23,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
24,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
25,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
26,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
27,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
28,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
29,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
30,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
31,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
32,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
33,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
34,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
35,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
