voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Beverly CLUBLEY Independent,Cameron WHITTLE Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,4
1,Beverly CLUBLEY Independent,Leslie MANSON Independent,Sandy COWIE Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,skipped,skipped,4
2,Sandy COWIE Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,skipped,skipped,4
3,Sandy COWIE Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,skipped,skipped,4
4,Leslie SINCLAIR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,4
5,Leslie SINCLAIR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,4
6,Sandy COWIE Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Leslie MANSON Independent,4
7,Leslie MANSON Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Sandy COWIE Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,4
8,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,4
9,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
10,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
11,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
12,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
13,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
14,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,4
15,Barbara FOULKES Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
16,Barbara FOULKES Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
17,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
18,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
19,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
20,Leslie SINCLAIR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
21,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Leslie SINCLAIR Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Leslie MANSON Independent,4
22,Beverly CLUBLEY Independent,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,4
23,Leslie SINCLAIR Independent,Sandy COWIE Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
24,Leslie SINCLAIR Independent,Sandy COWIE Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
25,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,Leslie SINCLAIR Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,4
26,Sandy COWIE Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Beverly CLUBLEY Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,4
27,Sandy COWIE Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Beverly CLUBLEY Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,4
28,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Cameron WHITTLE Independent,skipped,skipped,skipped,skipped,4
29,Sandy COWIE Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,4
30,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
31,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
32,Ivan TAYLOR Independent,Leslie MANSON Independent,Cameron WHITTLE Independent,skipped,skipped,skipped,skipped,skipped,4
33,Ivan TAYLOR Independent,Leslie MANSON Independent,Cameron WHITTLE Independent,skipped,skipped,skipped,skipped,skipped,4
34,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
35,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
36,Leslie MANSON Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,4
37,Leslie MANSON Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,4
38,Leslie MANSON Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,skipped,skipped,4
39,Kristopher LEASK Scottish Greens,Sandy COWIE Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Cameron WHITTLE Independent,4
40,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,skipped,skipped,4
41,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,skipped,skipped,4
42,Sandy COWIE Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
43,Kristopher LEASK Scottish Greens,Leslie SINCLAIR Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,skipped,skipped,skipped,skipped,4
44,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,4
45,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Beverly CLUBLEY Independent,Cameron WHITTLE Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,4
46,Beverly CLUBLEY Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Sandy COWIE Independent,skipped,skipped,skipped,4
47,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,4
48,Sandy COWIE Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,4
49,Beverly CLUBLEY Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
50,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,4
51,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
52,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
53,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
54,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
55,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
56,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
57,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
58,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,skipped,4
59,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,skipped,skipped,skipped,skipped,skipped,4
60,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,skipped,4
61,Leslie MANSON Independent,Sandy COWIE Independent,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
62,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie MANSON Independent,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,skipped,4
63,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Ivan TAYLOR Independent,Cameron WHITTLE Independent,skipped,skipped,skipped,skipped,4
64,Barbara FOULKES Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Sandy COWIE Independent,skipped,skipped,skipped,4
