voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
1,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
2,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
3,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
4,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
5,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
6,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
7,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
8,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
9,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
10,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
11,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
12,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
13,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
14,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
15,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
16,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
17,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
18,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
19,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
20,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
21,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
22,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
23,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
24,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
25,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
26,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
27,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
28,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
29,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
30,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
31,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
32,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
33,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
34,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
35,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
36,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
37,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
38,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
39,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
40,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
41,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
42,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
43,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
44,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
45,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
46,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
47,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
48,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
49,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
50,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
51,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
52,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
53,Alasdair BAILEY (Lab),skipped,skipped,skipped,skipped,skipped,3,6
