voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
1,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
2,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
3,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
4,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
5,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
6,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
7,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
8,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
9,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
10,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
11,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
12,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
13,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
14,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
15,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
16,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
17,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
18,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
19,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
20,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
21,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
22,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
23,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
24,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
25,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
26,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
27,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
28,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
29,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
30,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
31,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
32,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
33,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
34,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
35,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
36,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
37,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
38,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
39,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
40,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
41,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
42,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
43,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
44,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
45,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
46,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
47,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
48,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
49,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
50,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
51,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
52,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
53,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
54,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
55,Ralph BARKER (Lab),skipped,skipped,skipped,skipped,skipped,3,6
