voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
1,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
2,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
3,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
4,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
5,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
6,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
7,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
8,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
9,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
10,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
11,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
12,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
13,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
14,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
15,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
16,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
17,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
18,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
19,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
20,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
21,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
22,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
23,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
24,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
25,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
26,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
27,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
28,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
29,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
30,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
31,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
32,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
33,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
34,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
35,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
36,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
37,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
38,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
39,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
40,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
41,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
42,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
43,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
44,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
45,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
46,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
47,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
48,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
49,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
50,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
51,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
52,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
53,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
54,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
55,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
56,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
57,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
58,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
59,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
60,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
61,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
62,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
63,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
64,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
65,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
66,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
67,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
68,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
69,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
70,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
71,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
72,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
73,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
74,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
75,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
76,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
77,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
78,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
79,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
80,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
81,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
82,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
83,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
84,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
85,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
86,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
87,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
88,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
89,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
90,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
91,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
92,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
93,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
94,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
95,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
96,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
97,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
98,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
99,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
100,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
101,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
102,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
103,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
104,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
105,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
106,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
107,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
108,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
109,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
110,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
111,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
112,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
113,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
114,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
115,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
116,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
117,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
118,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
119,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
120,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
121,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
122,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
123,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
124,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
125,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
126,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
127,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
128,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
129,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
130,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
131,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
132,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
133,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
134,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
135,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
136,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
137,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
138,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
139,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
140,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
141,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
142,George GREENSHIELDS (Lab),skipped,skipped,skipped,skipped,skipped,3,6
143,George GREENSHIELDS (Lab),Archie MANSON (SNP),skipped,skipped,skipped,skipped,3,6
