voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
1,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
2,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
3,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
4,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
5,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
6,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
7,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
8,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
9,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
10,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
11,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
12,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
13,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
14,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
15,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
16,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
17,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
18,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
19,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
20,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
21,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
22,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
23,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
24,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
25,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
26,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
27,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
28,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
29,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
30,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
31,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
32,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
33,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
34,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
35,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
36,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
37,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
38,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
39,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
40,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
41,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
42,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
43,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
44,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
45,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
46,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
47,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
48,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
49,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
50,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
51,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
52,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
53,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
54,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
55,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
56,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
57,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
58,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
59,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
60,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
61,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
62,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
63,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
64,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
65,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
66,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
67,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
68,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
69,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
70,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
71,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
72,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
73,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
74,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
75,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
76,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
77,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
78,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
79,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
80,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
81,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
82,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
83,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
84,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
85,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
86,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
87,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
88,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
89,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
90,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
91,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
92,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
93,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
94,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
95,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
96,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
97,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
98,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
99,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
100,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
101,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
102,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
103,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
104,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
105,Walter BROGAN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,8
