voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Harry Redpath SCOTT (Ind),Duck FRATER (Ind),Fay SINCLAIR (SNP) Party (SNP),Hannah STEEL Scottish (LD),skipped,skipped,skipped,skipped,skipped,4,9
1,Bill WHITE (Ind),Neil MACKINNON (Grn) Party,Fay SINCLAIR (SNP) Party (SNP),Hannah STEEL Scottish (LD),Duck FRATER (Ind),Euan JARDINE Scottish (Con) and Unionist,Harry Redpath SCOTT (Ind),James D W CLARK Scottish Eco-Federalist Party (SEFP),Michael BANKS (Vanguard) Party championing Galashiels,4,9
2,Harry Redpath SCOTT (Ind),Bill WHITE (Ind),Duck FRATER (Ind),Fay SINCLAIR (SNP) Party (SNP),Hannah STEEL Scottish (LD),Neil MACKINNON (Grn) Party,Michael BANKS (Vanguard) Party championing Galashiels,James D W CLARK Scottish Eco-Federalist Party (SEFP),Euan JARDINE Scottish (Con) and Unionist,4,9
3,Duck FRATER (Ind),Michael BANKS (Vanguard) Party championing Galashiels,Neil MACKINNON (Grn) Party,skipped,skipped,skipped,skipped,skipped,skipped,4,9
4,Harry Redpath SCOTT (Ind),Bill WHITE (Ind),James D W CLARK Scottish Eco-Federalist Party (SEFP),Neil MACKINNON (Grn) Party,skipped,skipped,skipped,skipped,skipped,4,9
5,Bill WHITE (Ind),Duck FRATER (Ind),Michael BANKS (Vanguard) Party championing Galashiels,Harry Redpath SCOTT (Ind),skipped,skipped,skipped,skipped,skipped,4,9
6,Hannah STEEL Scottish (LD),Duck FRATER (Ind),Neil MACKINNON (Grn) Party,James D W CLARK Scottish Eco-Federalist Party (SEFP),skipped,skipped,skipped,skipped,skipped,4,9
7,Harry Redpath SCOTT (Ind),Euan JARDINE Scottish (Con) and Unionist,Duck FRATER (Ind),Bill WHITE (Ind),Hannah STEEL Scottish (LD),Neil MACKINNON (Grn) Party,Fay SINCLAIR (SNP) Party (SNP),James D W CLARK Scottish Eco-Federalist Party (SEFP),Michael BANKS (Vanguard) Party championing Galashiels,4,9
8,Neil MACKINNON (Grn) Party,Bill WHITE (Ind),Duck FRATER (Ind),Michael BANKS (Vanguard) Party championing Galashiels,skipped,skipped,skipped,skipped,skipped,4,9
9,Hannah STEEL Scottish (LD),Duck FRATER (Ind),Harry Redpath SCOTT (Ind),Bill WHITE (Ind),skipped,skipped,skipped,skipped,skipped,4,9
10,Hannah STEEL Scottish (LD),Duck FRATER (Ind),Harry Redpath SCOTT (Ind),Bill WHITE (Ind),skipped,skipped,skipped,skipped,skipped,4,9
11,Hannah STEEL Scottish (LD),Duck FRATER (Ind),Harry Redpath SCOTT (Ind),Bill WHITE (Ind),skipped,skipped,skipped,skipped,skipped,4,9
12,Hannah STEEL Scottish (LD),Duck FRATER (Ind),Harry Redpath SCOTT (Ind),Bill WHITE (Ind),skipped,skipped,skipped,skipped,skipped,4,9
13,Fay SINCLAIR (SNP) Party (SNP),Bill WHITE (Ind),Harry Redpath SCOTT (Ind),Duck FRATER (Ind),Hannah STEEL Scottish (LD),James D W CLARK Scottish Eco-Federalist Party (SEFP),Neil MACKINNON (Grn) Party,Michael BANKS (Vanguard) Party championing Galashiels,Euan JARDINE Scottish (Con) and Unionist,4,9
14,Neil MACKINNON (Grn) Party,James D W CLARK Scottish Eco-Federalist Party (SEFP),Harry Redpath SCOTT (Ind),Hannah STEEL Scottish (LD),Fay SINCLAIR (SNP) Party (SNP),skipped,skipped,skipped,skipped,4,9
15,Fay SINCLAIR (SNP) Party (SNP),Neil MACKINNON (Grn) Party,Hannah STEEL Scottish (LD),Bill WHITE (Ind),Duck FRATER (Ind),Harry Redpath SCOTT (Ind),Michael BANKS (Vanguard) Party championing Galashiels,James D W CLARK Scottish Eco-Federalist Party (SEFP),skipped,4,9
16,Euan JARDINE Scottish (Con) and Unionist,Hannah STEEL Scottish (LD),Bill WHITE (Ind),Harry Redpath SCOTT (Ind),Duck FRATER (Ind),skipped,skipped,skipped,skipped,4,9
17,Euan JARDINE Scottish (Con) and Unionist,Hannah STEEL Scottish (LD),Bill WHITE (Ind),Harry Redpath SCOTT (Ind),Duck FRATER (Ind),skipped,skipped,skipped,skipped,4,9
18,Euan JARDINE Scottish (Con) and Unionist,Hannah STEEL Scottish (LD),Bill WHITE (Ind),Harry Redpath SCOTT (Ind),Duck FRATER (Ind),skipped,skipped,skipped,skipped,4,9
19,Euan JARDINE Scottish (Con) and Unionist,Hannah STEEL Scottish (LD),Bill WHITE (Ind),Harry Redpath SCOTT (Ind),Duck FRATER (Ind),skipped,skipped,skipped,skipped,4,9
20,Euan JARDINE Scottish (Con) and Unionist,Hannah STEEL Scottish (LD),Bill WHITE (Ind),Harry Redpath SCOTT (Ind),Duck FRATER (Ind),skipped,skipped,skipped,skipped,4,9
21,Euan JARDINE Scottish (Con) and Unionist,Duck FRATER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
22,Euan JARDINE Scottish (Con) and Unionist,Duck FRATER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
23,Euan JARDINE Scottish (Con) and Unionist,Duck FRATER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
24,Euan JARDINE Scottish (Con) and Unionist,Duck FRATER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,9
