voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Janis WILSON Scottish National Party - Stronger for Scotland,Ben MORSE Scottish Liberal Democrats,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,1
1,Janis WILSON Scottish National Party - Stronger for Scotland,Ben MORSE Scottish Liberal Democrats,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,1
2,Janis WILSON Scottish National Party - Stronger for Scotland,Ben MORSE Scottish Liberal Democrats,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,1
3,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Calum MILLER Independent,Colin YORKSTON Scottish Labour Party,1
4,Andy OVENS Scottish Conservative and Unionist,Calum MILLER Independent,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
5,Andy OVENS Scottish Conservative and Unionist,Calum MILLER Independent,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
6,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,1
7,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,1
8,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,1
9,Janis WILSON Scottish National Party - Stronger for Scotland,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,Tim PORTEUS Scottish Green Party,skipped,1
10,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
11,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
12,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
13,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
14,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
15,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
16,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
17,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
18,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
19,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
20,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
21,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
22,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
23,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
24,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
25,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
26,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
27,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
28,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
29,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
30,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
31,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
32,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
33,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
34,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
35,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
36,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
37,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
