voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
1,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
2,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
3,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
4,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
5,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
6,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
7,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
8,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
9,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
10,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
11,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
12,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
13,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
14,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
15,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
16,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
17,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
18,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
19,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
20,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
21,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
22,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
23,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
24,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
25,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
26,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
27,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
28,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
29,Gary AIRNES (LD),skipped,skipped,skipped,skipped,skipped,4
30,Gary AIRNES (LD),Callum CAMPBELL (Con),skipped,skipped,skipped,skipped,4
31,Gary AIRNES (LD),Callum CAMPBELL (Con),skipped,skipped,skipped,skipped,4
32,Gary AIRNES (LD),Callum CAMPBELL (Con),skipped,skipped,skipped,skipped,4
33,Gary AIRNES (LD),Callum CAMPBELL (Con),skipped,skipped,skipped,skipped,4
34,Gary AIRNES (LD),Callum CAMPBELL (Con),skipped,skipped,skipped,skipped,4
