voterId,rank1,rank2,rank3,rank4,numSeats,numCands
0,Neil BENNY (Con),skipped,skipped,skipped,3,4
1,Neil BENNY (Con),skipped,skipped,skipped,3,4
2,Neil BENNY (Con),skipped,skipped,skipped,3,4
3,Neil BENNY (Con),skipped,skipped,skipped,3,4
4,Neil BENNY (Con),skipped,skipped,skipped,3,4
5,Neil BENNY (Con),skipped,skipped,skipped,3,4
6,Neil BENNY (Con),skipped,skipped,skipped,3,4
7,Neil BENNY (Con),skipped,skipped,skipped,3,4
8,Neil BENNY (Con),skipped,skipped,skipped,3,4
9,Neil BENNY (Con),skipped,skipped,skipped,3,4
10,Neil BENNY (Con),skipped,skipped,skipped,3,4
11,Neil BENNY (Con),skipped,skipped,skipped,3,4
12,Neil BENNY (Con),skipped,skipped,skipped,3,4
13,Neil BENNY (Con),skipped,skipped,skipped,3,4
14,Neil BENNY (Con),skipped,skipped,skipped,3,4
15,Neil BENNY (Con),skipped,skipped,skipped,3,4
16,Neil BENNY (Con),skipped,skipped,skipped,3,4
17,Neil BENNY (Con),skipped,skipped,skipped,3,4
18,Neil BENNY (Con),skipped,skipped,skipped,3,4
19,Neil BENNY (Con),skipped,skipped,skipped,3,4
20,Neil BENNY (Con),skipped,skipped,skipped,3,4
21,Neil BENNY (Con),skipped,skipped,skipped,3,4
22,Neil BENNY (Con),skipped,skipped,skipped,3,4
23,Neil BENNY (Con),skipped,skipped,skipped,3,4
24,Neil BENNY (Con),skipped,skipped,skipped,3,4
25,Neil BENNY (Con),skipped,skipped,skipped,3,4
26,Neil BENNY (Con),skipped,skipped,skipped,3,4
27,Neil BENNY (Con),skipped,skipped,skipped,3,4
28,Neil BENNY (Con),skipped,skipped,skipped,3,4
29,Neil BENNY (Con),skipped,skipped,skipped,3,4
30,Neil BENNY (Con),skipped,skipped,skipped,3,4
31,Neil BENNY (Con),skipped,skipped,skipped,3,4
32,Neil BENNY (Con),skipped,skipped,skipped,3,4
33,Neil BENNY (Con),skipped,skipped,skipped,3,4
34,Neil BENNY (Con),skipped,skipped,skipped,3,4
35,Neil BENNY (Con),skipped,skipped,skipped,3,4
36,Neil BENNY (Con),skipped,skipped,skipped,3,4
37,Neil BENNY (Con),skipped,skipped,skipped,3,4
38,Neil BENNY (Con),skipped,skipped,skipped,3,4
39,Neil BENNY (Con),skipped,skipped,skipped,3,4
40,Neil BENNY (Con),skipped,skipped,skipped,3,4
41,Neil BENNY (Con),skipped,skipped,skipped,3,4
42,Neil BENNY (Con),skipped,skipped,skipped,3,4
43,Neil BENNY (Con),skipped,skipped,skipped,3,4
44,Neil BENNY (Con),skipped,skipped,skipped,3,4
45,Neil BENNY (Con),skipped,skipped,skipped,3,4
46,Neil BENNY (Con),skipped,skipped,skipped,3,4
47,Neil BENNY (Con),skipped,skipped,skipped,3,4
48,Neil BENNY (Con),skipped,skipped,skipped,3,4
49,Neil BENNY (Con),skipped,skipped,skipped,3,4
50,Neil BENNY (Con),skipped,skipped,skipped,3,4
51,Neil BENNY (Con),skipped,skipped,skipped,3,4
52,Neil BENNY (Con),skipped,skipped,skipped,3,4
53,Neil BENNY (Con),skipped,skipped,skipped,3,4
54,Neil BENNY (Con),skipped,skipped,skipped,3,4
55,Neil BENNY (Con),skipped,skipped,skipped,3,4
56,Neil BENNY (Con),skipped,skipped,skipped,3,4
57,Neil BENNY (Con),skipped,skipped,skipped,3,4
58,Neil BENNY (Con),skipped,skipped,skipped,3,4
59,Neil BENNY (Con),skipped,skipped,skipped,3,4
60,Neil BENNY (Con),skipped,skipped,skipped,3,4
61,Neil BENNY (Con),skipped,skipped,skipped,3,4
62,Neil BENNY (Con),skipped,skipped,skipped,3,4
63,Neil BENNY (Con),skipped,skipped,skipped,3,4
64,Neil BENNY (Con),skipped,skipped,skipped,3,4
65,Neil BENNY (Con),skipped,skipped,skipped,3,4
66,Neil BENNY (Con),skipped,skipped,skipped,3,4
67,Neil BENNY (Con),skipped,skipped,skipped,3,4
68,Neil BENNY (Con),skipped,skipped,skipped,3,4
69,Neil BENNY (Con),skipped,skipped,skipped,3,4
70,Neil BENNY (Con),skipped,skipped,skipped,3,4
71,Neil BENNY (Con),skipped,skipped,skipped,3,4
72,Neil BENNY (Con),skipped,skipped,skipped,3,4
73,Neil BENNY (Con),skipped,skipped,skipped,3,4
74,Neil BENNY (Con),skipped,skipped,skipped,3,4
75,Neil BENNY (Con),skipped,skipped,skipped,3,4
76,Neil BENNY (Con),skipped,skipped,skipped,3,4
77,Neil BENNY (Con),skipped,skipped,skipped,3,4
78,Neil BENNY (Con),skipped,skipped,skipped,3,4
79,Neil BENNY (Con),skipped,skipped,skipped,3,4
80,Neil BENNY (Con),skipped,skipped,skipped,3,4
81,Neil BENNY (Con),skipped,skipped,skipped,3,4
82,Neil BENNY (Con),skipped,skipped,skipped,3,4
83,Neil BENNY (Con),skipped,skipped,skipped,3,4
84,Neil BENNY (Con),skipped,skipped,skipped,3,4
85,Neil BENNY (Con),skipped,skipped,skipped,3,4
86,Neil BENNY (Con),skipped,skipped,skipped,3,4
87,Neil BENNY (Con),skipped,skipped,skipped,3,4
88,Neil BENNY (Con),skipped,skipped,skipped,3,4
89,Neil BENNY (Con),skipped,skipped,skipped,3,4
90,Neil BENNY (Con),skipped,skipped,skipped,3,4
91,Neil BENNY (Con),skipped,skipped,skipped,3,4
92,Neil BENNY (Con),skipped,skipped,skipped,3,4
93,Neil BENNY (Con),skipped,skipped,skipped,3,4
94,Neil BENNY (Con),skipped,skipped,skipped,3,4
95,Neil BENNY (Con),skipped,skipped,skipped,3,4
96,Neil BENNY (Con),skipped,skipped,skipped,3,4
97,Neil BENNY (Con),skipped,skipped,skipped,3,4
98,Neil BENNY (Con),skipped,skipped,skipped,3,4
99,Neil BENNY (Con),skipped,skipped,skipped,3,4
100,Neil BENNY (Con),skipped,skipped,skipped,3,4
101,Neil BENNY (Con),skipped,skipped,skipped,3,4
102,Neil BENNY (Con),skipped,skipped,skipped,3,4
103,Neil BENNY (Con),skipped,skipped,skipped,3,4
104,Neil BENNY (Con),skipped,skipped,skipped,3,4
105,Neil BENNY (Con),skipped,skipped,skipped,3,4
106,Neil BENNY (Con),skipped,skipped,skipped,3,4
107,Neil BENNY (Con),skipped,skipped,skipped,3,4
108,Neil BENNY (Con),skipped,skipped,skipped,3,4
109,Neil BENNY (Con),skipped,skipped,skipped,3,4
110,Neil BENNY (Con),skipped,skipped,skipped,3,4
111,Neil BENNY (Con),skipped,skipped,skipped,3,4
112,Neil BENNY (Con),skipped,skipped,skipped,3,4
113,Neil BENNY (Con),skipped,skipped,skipped,3,4
114,Neil BENNY (Con),skipped,skipped,skipped,3,4
115,Neil BENNY (Con),skipped,skipped,skipped,3,4
116,Neil BENNY (Con),skipped,skipped,skipped,3,4
117,Neil BENNY (Con),skipped,skipped,skipped,3,4
118,Neil BENNY (Con),skipped,skipped,skipped,3,4
119,Neil BENNY (Con),skipped,skipped,skipped,3,4
120,Neil BENNY (Con),skipped,skipped,skipped,3,4
121,Neil BENNY (Con),skipped,skipped,skipped,3,4
122,Neil BENNY (Con),skipped,skipped,skipped,3,4
123,Neil BENNY (Con),skipped,skipped,skipped,3,4
124,Neil BENNY (Con),skipped,skipped,skipped,3,4
125,Neil BENNY (Con),skipped,skipped,skipped,3,4
126,Neil BENNY (Con),skipped,skipped,skipped,3,4
127,Neil BENNY (Con),skipped,skipped,skipped,3,4
128,Neil BENNY (Con),skipped,skipped,skipped,3,4
129,Neil BENNY (Con),skipped,skipped,skipped,3,4
130,Neil BENNY (Con),skipped,skipped,skipped,3,4
131,Neil BENNY (Con),skipped,skipped,skipped,3,4
132,Neil BENNY (Con),skipped,skipped,skipped,3,4
133,Neil BENNY (Con),skipped,skipped,skipped,3,4
134,Neil BENNY (Con),skipped,skipped,skipped,3,4
135,Neil BENNY (Con),skipped,skipped,skipped,3,4
136,Neil BENNY (Con),skipped,skipped,skipped,3,4
137,Neil BENNY (Con),skipped,skipped,skipped,3,4
138,Neil BENNY (Con),skipped,skipped,skipped,3,4
139,Neil BENNY (Con),skipped,skipped,skipped,3,4
140,Neil BENNY (Con),skipped,skipped,skipped,3,4
141,Neil BENNY (Con),skipped,skipped,skipped,3,4
142,Neil BENNY (Con),skipped,skipped,skipped,3,4
143,Neil BENNY (Con),skipped,skipped,skipped,3,4
144,Neil BENNY (Con),skipped,skipped,skipped,3,4
145,Neil BENNY (Con),skipped,skipped,skipped,3,4
146,Neil BENNY (Con),skipped,skipped,skipped,3,4
147,Neil BENNY (Con),skipped,skipped,skipped,3,4
148,Neil BENNY (Con),skipped,skipped,skipped,3,4
149,Neil BENNY (Con),skipped,skipped,skipped,3,4
150,Neil BENNY (Con),skipped,skipped,skipped,3,4
151,Neil BENNY (Con),skipped,skipped,skipped,3,4
152,Neil BENNY (Con),skipped,skipped,skipped,3,4
153,Neil BENNY (Con),skipped,skipped,skipped,3,4
154,Neil BENNY (Con),skipped,skipped,skipped,3,4
155,Neil BENNY (Con),skipped,skipped,skipped,3,4
156,Neil BENNY (Con),skipped,skipped,skipped,3,4
157,Neil BENNY (Con),skipped,skipped,skipped,3,4
158,Neil BENNY (Con),skipped,skipped,skipped,3,4
159,Neil BENNY (Con),skipped,skipped,skipped,3,4
160,Neil BENNY (Con),skipped,skipped,skipped,3,4
161,Neil BENNY (Con),skipped,skipped,skipped,3,4
162,Neil BENNY (Con),skipped,skipped,skipped,3,4
163,Neil BENNY (Con),skipped,skipped,skipped,3,4
164,Neil BENNY (Con),skipped,skipped,skipped,3,4
165,Neil BENNY (Con),skipped,skipped,skipped,3,4
166,Neil BENNY (Con),skipped,skipped,skipped,3,4
167,Neil BENNY (Con),skipped,skipped,skipped,3,4
168,Neil BENNY (Con),skipped,skipped,skipped,3,4
169,Neil BENNY (Con),skipped,skipped,skipped,3,4
170,Neil BENNY (Con),skipped,skipped,skipped,3,4
171,Neil BENNY (Con),skipped,skipped,skipped,3,4
172,Neil BENNY (Con),skipped,skipped,skipped,3,4
173,Neil BENNY (Con),skipped,skipped,skipped,3,4
174,Neil BENNY (Con),skipped,skipped,skipped,3,4
175,Neil BENNY (Con),skipped,skipped,skipped,3,4
176,Neil BENNY (Con),skipped,skipped,skipped,3,4
177,Neil BENNY (Con),skipped,skipped,skipped,3,4
178,Neil BENNY (Con),skipped,skipped,skipped,3,4
179,Neil BENNY (Con),skipped,skipped,skipped,3,4
180,Neil BENNY (Con),skipped,skipped,skipped,3,4
181,Neil BENNY (Con),skipped,skipped,skipped,3,4
182,Neil BENNY (Con),skipped,skipped,skipped,3,4
183,Neil BENNY (Con),skipped,skipped,skipped,3,4
184,Neil BENNY (Con),skipped,skipped,skipped,3,4
185,Neil BENNY (Con),skipped,skipped,skipped,3,4
186,Neil BENNY (Con),skipped,skipped,skipped,3,4
187,Neil BENNY (Con),skipped,skipped,skipped,3,4
188,Neil BENNY (Con),skipped,skipped,skipped,3,4
189,Neil BENNY (Con),skipped,skipped,skipped,3,4
190,Neil BENNY (Con),skipped,skipped,skipped,3,4
191,Neil BENNY (Con),skipped,skipped,skipped,3,4
192,Neil BENNY (Con),skipped,skipped,skipped,3,4
193,Neil BENNY (Con),skipped,skipped,skipped,3,4
194,Neil BENNY (Con),skipped,skipped,skipped,3,4
195,Neil BENNY (Con),skipped,skipped,skipped,3,4
196,Neil BENNY (Con),skipped,skipped,skipped,3,4
197,Neil BENNY (Con),skipped,skipped,skipped,3,4
198,Neil BENNY (Con),skipped,skipped,skipped,3,4
199,Neil BENNY (Con),skipped,skipped,skipped,3,4
200,Neil BENNY (Con),skipped,skipped,skipped,3,4
201,Neil BENNY (Con),skipped,skipped,skipped,3,4
202,Neil BENNY (Con),skipped,skipped,skipped,3,4
203,Neil BENNY (Con),skipped,skipped,skipped,3,4
204,Neil BENNY (Con),skipped,skipped,skipped,3,4
205,Neil BENNY (Con),skipped,skipped,skipped,3,4
206,Neil BENNY (Con),skipped,skipped,skipped,3,4
207,Neil BENNY (Con),skipped,skipped,skipped,3,4
208,Neil BENNY (Con),skipped,skipped,skipped,3,4
209,Neil BENNY (Con),skipped,skipped,skipped,3,4
210,Neil BENNY (Con),skipped,skipped,skipped,3,4
