voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
0,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alastair George MAJURY Independent,Fayzan REHMAN Scottish Liberal Democrats,Bill COWAN Alba Party for independence,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,skipped,skipped,4
1,Alastair George MAJURY Independent,Douglas DODDS Scottish Conservative and Unionist,Fayzan REHMAN Scottish Liberal Democrats,Willy STIRLING Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Ewan DILLON Scottish Labour Party,Graham HOUSTON Scottish National Party (SNP),Fayzan REHMAN Scottish Liberal Democrats,Willy STIRLING Scottish Conservative and Unionist,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Alastair George MAJURY Independent,Ahsan KHAN Scottish National Party (SNP),Douglas DODDS Scottish Conservative and Unionist,Bill COWAN Alba Party for independence,4
3,Alastair George MAJURY Independent,Ahsan KHAN Scottish National Party (SNP),Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Graham HOUSTON Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
4,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),Fayzan REHMAN Scottish Liberal Democrats,Bill COWAN Alba Party for independence,Ewan DILLON Scottish Labour Party,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,skipped,skipped,skipped,skipped,4
5,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Fayzan REHMAN Scottish Liberal Democrats,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,Ewan DILLON Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
6,Graham HOUSTON Scottish National Party (SNP),Ewan DILLON Scottish Labour Party,Ahsan KHAN Scottish National Party (SNP),Fayzan REHMAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Ewan DILLON Scottish Labour Party,Bill COWAN Alba Party for independence,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fayzan REHMAN Scottish Liberal Democrats,Alastair George MAJURY Independent,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,4
8,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Ewan DILLON Scottish Labour Party,Bill COWAN Alba Party for independence,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fayzan REHMAN Scottish Liberal Democrats,Alastair George MAJURY Independent,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,4
9,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,Ewan DILLON Scottish Labour Party,Fayzan REHMAN Scottish Liberal Democrats,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Alastair George MAJURY Independent,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,skipped,skipped,skipped,4
